3,0,0,-3,-2,-7,-1,2,0.840332,-0.399902,0.375,-0.125,-1.8125,-0.25,65,32,88
-1,1,2,0,8,7,1,-4,0.834473,-0.397949,0.376465,1.625,-0.8125,0.5625,66,32,88
10,-2,-4,-2,2,8,13,12,0.838379,-0.391113,0.375977,2.1875,2.8125,0.625,66,32,88
-5,-1,3,6,22,24,6,29,0.844727,-0.385742,0.382324,4.25,4.6875,0.375,66,32,88
-1,-1,-1,0,-6,-16,-1,9,0.808594,-0.398438,0.408691,1,3.9375,-0.5625,66,32,88
1,3,0,-5,8,6,-23,-43,0.83252,-0.376465,0.390625,6.625,3.75,1.25,67,32,88
0,4,-3,-8,-9,-16,25,-7,0.830566,-0.367676,0.398438,-0.75,5.125,3.625,67,33,87
-3,3,4,7,16,22,-10,29,0.836426,-0.422363,0.39502,2.4375,5.0625,6.25,67,33,87
40,-10,-9,-4,2,2,7,-17,0.830566,-0.414551,0.456543,4.5,8.0625,5.5,67,34,87
8,10,19,11,9,5,-5,35,0.812012,-0.452148,0.405762,3.125,13.6875,2.75,67,35,87
3,12,-2,-4,-6,-9,4,66,0.768555,-0.424316,0.436523,-12.875,7.1875,-5.6875,67,35,87
3,-14,-17,-8,-7,-7,-15,4,0.812988,-0.368652,0.366211,-5.625,8.5625,-4.375,67,35,86
25,19,2,-2,-3,2,40,25,0.819824,-0.365723,0.487793,-7.1875,2.5,-3.25,68,35,85
-7,-3,-7,-10,-7,-25,-24,-71,0.776855,-0.429688,0.429688,-5.5625,0,-5.3125,68,35,85
11,14,7,5,9,18,32,-30,0.825195,-0.406738,0.447754,-0.5625,-4.4375,-5.5,68,35,85
13,2,-6,-7,-13,-27,21,66,0.771484,-0.429688,0.43457,-2.8125,-1.4375,-6.0625,68,35,85
-56,-9,1,-3,-7,-2,-22,-30,0.803711,-0.36084,0.44873,6.1875,-0.9375,-1.375,68,35,85
21,6,7,-4,-3,-7,19,47,0.812988,-0.420898,0.451172,-0.0625,-2.625,-8,68,35,85
7,4,15,11,10,4,-67,-100,0.807617,-0.361328,0.446777,1.4375,-3.875,-5.1875,69,34,85
3,2,-5,-3,4,6,16,126,0.805664,-0.368164,0.445801,2,-3.0625,0.625,69,34,85
-26,-7,-6,-3,1,-1,6,-60,0.809082,-0.376465,0.458984,-0.8125,-3.1875,0.6875,69,34,85
18,9,14,5,6,10,-6,64,0.811523,-0.397461,0.439941,-0.5625,-3.125,4.125,69,34,85
73,2,-6,-3,-10,-26,-22,-26,0.813965,-0.375,0.445801,0.3125,-2.1875,0.5625,68,34,85
8,-8,-4,-5,-7,-13,-19,-34,0.799805,-0.391113,0.452637,0.4375,-3.8125,-2.5625,68,34,85
1,8,9,-5,-1,-1,-7,-19,0.817871,-0.373535,0.434082,-0.0625,-4.5,-4.375,68,34,85
4,11,19,3,0,-27,10,-3,0.813477,-0.358398,0.425781,-1.125,-2.375,-0.6875,69,34,85
0,-14,-3,1,4,9,21,24,0.813965,-0.410645,0.434082,1.5,-0.8125,0.3125,69,34,85
-3,0,-13,-5,-5,5,23,-29,0.817871,-0.364258,0.430176,2.375,-2.5,1.375,69,34,85
4,-5,-16,-8,-10,1,12,3,0.819336,-0.381836,0.43457,-0.125,-2.0625,-0.9375,68,34,85
-5,-4,-6,0,3,-4,-12,-3,0.815918,-0.375488,0.433105,4.375,-3.5625,-1.375,69,33,85
-55,-4,-4,3,-2,14,37,-19,0.823242,-0.378906,0.421387,0.1875,-3.625,-3,69,33,85
8,-1,5,1,1,0,-2,-27,0.805664,-0.348145,0.449219,0.3125,-2.75,-2,69,33,85
16,-10,-12,0,-2,-8,6,19,0.832031,-0.399414,0.419922,-2.125,-1.375,-3.6875,69,33,85
6,-6,-6,-6,-3,-10,29,32,0.807129,-0.342285,0.432617,-0.1875,-0.5,0.25,69,33,85
22,13,2,0,-6,-6,34,37,0.826172,-0.388672,0.433105,-2.875,-1,-1.25,69,33,85
-12,0,-5,-2,0,-5,17,31,0.824219,-0.372559,0.432129,2.5625,-1.875,0.3125,69,33,85
-7,-5,-16,-2,-4,-7,-19,-19,0.828613,-0.386719,0.429688,1.6875,-0.25,-1.6875,69,33,85
6,1,-1,1,5,25,8,-1,0.817383,-0.349121,0.439941,-0.875,-0.375,-2.8125,69,33,85
-19,-13,8,5,2,16,-39,-23,0.821777,-0.368652,0.435547,0,-0.4375,-2.0625,69,33,85
8,-10,-11,-2,-4,-14,16,29,0.817383,-0.366699,0.44043,1.25,-3.125,0.25,69,33,85
-4,-5,-4,-5,0,-16,-32,-58,0.828613,-0.383301,0.429688,0,-3.625,-2,69,33,85
5,-3,-5,4,-7,-17,-5,-1,0.828125,-0.35791,0.441895,4.375,-3.1875,-0.8125,69,33,85
8,1,-5,1,6,49,-9,45,0.833008,-0.37207,0.436035,-0.4375,-1.5625,-3,69,33,85
-1,2,-4,-3,-4,6,1,36,0.81543,-0.342285,0.425781,0.4375,0.6875,-2.125,69,33,85
7,-3,-7,0,-2,-11,-6,6,0.830078,-0.362305,0.452148,-1.6875,0.8125,-3.4375,69,33,85
-15,-3,0,-2,1,19,32,35,0.822266,-0.36084,0.439453,-3.875,0.5625,-3.25,69,33,85
-9,-2,4,-2,4,16,-8,20,0.833008,-0.34668,0.43457,1.75,-3.125,-1.875,69,33,85
8,2,6,5,-2,-42,2,-3,0.832031,-0.36084,0.438477,-0.3125,-2.3125,-2.625,69,33,85
-16,-7,-20,-8,-9,-6,3,-14,0.831055,-0.350098,0.423828,4.4375,-3.125,0,69,33,85
10,3,-4,-7,-8,-5,23,36,0.818359,-0.35791,0.431152,2.5625,-1.6875,-0.1875,70,32,85
-14,-5,5,2,1,5,-2,-12,0.83252,-0.344238,0.436523,3.4375,-1.4375,-2.5,70,32,85
