0,0,0,0,0,0,0,0,0.861816,-0.408203,0.292969,-0.25,0.8125,0.625,62,30,35
0,0,0,0,0,0,0,0,0.860352,-0.40918,0.290527,-0.5625,0.9375,0.8125,62,30,35
-2,0,-8,-1,0,-2,-3,0,0.859863,-0.411621,0.287598,0.3125,1.5,0.875,62,30,35
0,-3,-4,-1,0,3,9,-17,0.859375,-0.412598,0.299805,-1.3125,0.75,-1,62,30,35
-1,2,5,-1,-2,2,4,-2,0.860352,-0.415039,0.286621,-0.1875,1,-0.5,62,30,35
-1,-2,-2,-1,-1,0,0,-14,0.85498,-0.421875,0.306641,-2.0625,1.5,-6,62,30,34
-7,2,-1,-2,2,8,21,-12,0.872559,-0.39502,0.285645,-2.625,5,-9.125,63,30,34
-8,-3,4,-3,-2,0,-8,-13,0.88916,-0.380371,0.289062,-6.0625,4,-10.4375,63,29,33
-17,-4,-2,2,-1,-3,-7,-4,0.854004,-0.405762,0.29248,-13.75,14.4375,-17.75,64,29,32
-87,41,25,-10,-2,7,8,-6,0.870605,-0.311035,0.368652,-6.8125,6.1875,-33.8125,68,27,26
43,-1,-22,-10,-5,-31,-12,25,0.904297,-0.24707,0.327148,4.9375,-8.4375,5.0625,70,24,24
9,-16,-8,-12,-2,1,2,0,0.845703,-0.177734,0.312988,3.875,0.25,12.125,70,24,25
-29,2,-5,-14,-10,-10,-18,-23,0.881348,-0.246582,0.317871,2.1875,0.8125,6.3125,69,24,26
6,2,18,-4,-2,-1,1,3,0.894531,-0.269043,0.32666,-0.625,-1.625,1.75,69,24,26
27,18,37,8,3,10,-7,-11,0.907715,-0.251465,0.299805,1.5,0.0625,1.3125,69,24,26
-39,-9,12,2,6,4,7,-9,0.900391,-0.265137,0.3125,0.875,0.6875,1.125,69,24,26
22,21,-7,1,-5,27,9,15,0.901367,-0.256348,0.313965,0.5,0,2.25,69,24,26
31,-7,6,-1,2,-3,-3,2,0.898438,-0.261719,0.317383,0.75,-0.1875,0.75,69,24,26
32,12,-6,-3,2,-4,-7,-13,0.90625,-0.270996,0.320801,1.0625,0.75,2.0625,69,24,26
-50,-4,8,-5,-7,6,11,5,0.898438,-0.27832,0.317383,0.5625,-1.1875,1.6875,69,25,26
44,0,-1,1,2,7,3,9,0.900879,-0.264648,0.317871,0.625,-0.6875,2.5625,69,25,26
24,4,14,8,3,-16,-5,7,0.904297,-0.266113,0.307617,0.6875,-0.75,2.375,69,25,26
-3,-5,-11,-4,-1,-6,0,-14,0.904297,-0.271973,0.307129,-0.1875,-0.3125,2.125,69,25,26
12,2,18,10,2,10,7,3,0.899902,-0.276855,0.323242,0.25,-0.0625,2,69,25,27
-25,-12,-5,-4,-2,-14,-20,-41,0.897949,-0.276855,0.306152,0.9375,0.625,2.5625,69,25,27
-29,2,19,-4,-5,-9,-5,-11,0.901855,-0.273926,0.307129,-0.3125,-1.1875,1.3125,69,25,27
18,-6,-14,-4,1,9,6,-1,0.898926,-0.266113,0.306152,0.25,-0.1875,1.25,69,25,27
-24,-9,-4,-5,-10,32,13,-19,0.898926,-0.285156,0.3125,0.375,-0.1875,1.9375,68,25,27
-5,0,5,0,-4,-2,-3,6,0.904785,-0.276855,0.311035,0.875,-0.3125,2.0625,68,25,27
18,5,1,-2,0,-8,-5,1,0.898438,-0.285156,0.310059,1.25,-1.3125,0.8125,68,25,27
-23,-11,-7,-4,-7,-10,-2,-15,0.897949,-0.277344,0.307129,0.5,-1.5,0.875,68,25,27
-23,8,9,4,1,-12,-2,-1,0.906738,-0.276855,0.312988,0.6875,-0.4375,1.1875,68,25,27
