Sign,EMGO_total_energy_0,EMG1_total_energy_0,EMG2_total_energy_0,EMG3_total_energy_0,EMG4_total_energy_0,EMG5_total_energy_0,EMG6_total_energy_0,EMG7_total_energy_0
r,0.1,0.1,0.0,0.1,0.0,0.1,0.2,0.0
h,0.1,0.2,0.0,0.1,0.0,0.1,0.1,0.3
w,0.0,0.1,0.1,0.5,0.1,0.3,0.7,0.3
k,0.1,0.1,0.1,0.3,0.1,0.3,0.5,0.1
b,0.0,0.1,0.1,0.5,0.2,0.4,0.4,0.2
v,0.0,0.1,0.1,0.3,0.1,0.4,0.7,0.2
d,0.1,0.2,0.1,0.4,0.1,0.3,0.5,0.4
s,0.0,0.4,0.1,0.6,0.2,0.4,0.4,0.3
g,0.3,0.3,0.1,0.1,0.0,0.1,0.1,0.2
e,0.1,0.2,0.1,0.5,0.1,0.4,0.6,0.5
p,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
o,0.0,0.2,0.1,0.2,0.1,0.3,0.5,0.4
l,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2
u,0.0,0.1,0.1,0.4,0.2,0.5,0.7,0.2
m,0.2,0.1,0.1,0.3,0.1,0.3,0.2,0.1
f,0.1,0.3,0.1,0.4,0.1,0.5,0.8,0.3
j,0.1,0.0,0.1,0.1,0.1,0.3,0.4,0.2
x,0.1,0.4,0.1,0.6,0.4,0.5,0.7,0.3
c,0.0,0.3,0.1,0.6,0.3,0.7,0.7,0.3
t,0.0,0.3,0.1,0.0,0.0,0.3,0.2,0.1
i,0.0,0.0,0.2,0.5,0.2,0.5,0.3,0.5
y,0.0,0.1,0.2,0.6,0.2,0.7,0.5,0.8
n,0.1,0.2,0.2,0.2,0.1,0.4,0.3,0.1
a,0.1,0.7,0.2,0.3,0.1,0.4,0.5,0.1
z,0.7,0.6,0.4,0.7,0.3,0.3,0.3,0.3
q,0.0,0.7,0.5,0.2,0.1,0.1,0.0,0.1
