"","X1","X2","X3","X4","X5","X6"
"1","a","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"2","b","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"3","c","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"4","d","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"5","e","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"6","f","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"7","g","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"8","h","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"9","i","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"10","j","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"11","k","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"12","l","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"13","m","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"14","n","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"15","o","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"16","p","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"17","q","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"18","r","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"19","s","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"20","t","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"21","u","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"22","v","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"23","w","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"24","x","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"25","y","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
"26","z","EMGO_mean_0","EMG1_mean_0","EMG2_mean_0","EMG3_mean_0","EMG4_mean_0"
