Name,EMGO_total_energy_0,EMG1_total_energy_0,EMG2_total_energy_0,EMG3_total_energy_0,EMG4_total_energy_0,EMG5_total_energy_0,EMG6_total_energy_0,EMG7_total_energy_0,EMGO_total_energy_1,EMG1_total_energy_1,EMG2_total_energy_1,EMG3_total_energy_1,EMG4_total_energy_1,EMG5_total_energy_1,EMG6_total_energy_1,EMG7_total_energy_1,EMGO_total_energy_2,EMG1_total_energy_2,EMG2_total_energy_2,EMG3_total_energy_2,EMG4_total_energy_2,EMG5_total_energy_2,EMG6_total_energy_2,EMG7_total_energy_2,EMGO_total_energy_3,EMG1_total_energy_3,EMG2_total_energy_3,EMG3_total_energy_3,EMG4_total_energy_3,EMG5_total_energy_3,EMG6_total_energy_3,EMG7_total_energy_3,EMGO_total_energy_4,EMG1_total_energy_4,EMG2_total_energy_4,EMG3_total_energy_4,EMG4_total_energy_4,EMG5_total_energy_4,EMG6_total_energy_4,EMG7_total_energy_4,EMGO_total_energy_5,EMG1_total_energy_5,EMG2_total_energy_5,EMG3_total_energy_5,EMG4_total_energy_5,EMG5_total_energy_5,EMG6_total_energy_5,EMG7_total_energy_5
alphabet_a290805336,0.033060153,0.57040607,0.107313128,0.261776116,0.131713789,0.344698948,0.239906087,0.087855402,0.148326287,0.462069841,0.2244214,0.186840637,0.08368408,0.245610453,0.212998331,0.100551963,0.050141221,0.367773019,0.104005019,0.060434269,0.011761648,0.172750523,0.125957551,0.143580222,0,0.164581962,0.037001105,0.371568029,0.232606132,0.220054542,0.143570936,0.029339613,0,0.471791457,0.114087794,0.252006319,0.624661979,0.230510547,0.078027162,0.081448179,0,0.121832115,0.032590619,0.159596122,0.422875131,0.390965732,0.330125962,0.051631913
alphabet_a290805337,0.10711985,0.928913967,0.240795747,0.336581274,0.167307164,0.196896217,0.547679957,0.14657708,0.245971321,0.478755556,0.177501545,0.535462783,0.075266155,0.099224173,0.352460176,0.038101246,0,1,0.338181398,0.163266646,0.15673533,0.092536619,0.494706026,0.132528789,0,0.200058518,0.210975467,0.139022052,0.076945755,0.044472415,0.203160382,0.127465411,0,0.474883455,0.188880061,0.253206951,0.327203894,0.310608377,0.250607577,0.140298294,0,0.332917484,0.163209584,0.25384327,0.243966422,0.257009346,0.683213786,0.279261106
alphabet_a290805340,0.046852773,0.599083838,0.154532362,0.173585433,0.095479916,0.437215549,0.646456401,0.175333028,0.161634824,0.205968254,0.225451549,0.138051075,0.242881901,0.49755002,1,0.126809651,0.057443985,0.307477741,0.264436887,0.060543711,0.020404185,0.212973727,0.145352525,0.245120792,0,0.202618682,0.176813,0.091148784,0.038620283,0.445773023,0.579132618,0.139829261,0,0.469508134,0.049855994,0.078230648,0.131963223,0.121063895,0.141329521,0.155522253,0,0.607877384,0.047864111,0.362686807,0.42339979,0.046339564,0.321028691,0.152447869
alphabet_a290805341,0.060822972,0.930011452,0.310827976,0.315555866,0.167032665,0.439826904,0.251704058,0.116800237,0.186332592,0.262501587,0.371828858,0.059844277,0.102500619,0.246018783,0.067962539,0.148430847,0,0.595739885,0.501733417,0.229085497,0.071219702,0.094396652,0.088484996,0.143513914,0,0.364859922,0.295954941,0.137736425,0.194870283,0.31277533,0.212365856,0.029162987,0,0.714156598,0.108493065,0.270552923,0.207138994,0.516050138,0.129521086,0.077118866,0,0.811227945,0.204851774,0.558974771,0.780167891,0.482087227,0.481805458,0.133091568
alphabet_a290805344,0.031157199,0.57422341,0.286186152,0.194219411,0.165019672,0.506453779,0.565250686,0.144773649,0.144808167,0.55672381,0.211784905,0.161887805,0.383758356,0.929971417,0.635260165,0.047831572,0,0.35154401,0.630220887,0.162412993,0.097797128,0.093234132,0.320053672,0.287182548,0,0.122595275,0.250914023,0.234419942,0.05129717,0.07572897,0.25214138,0.036385046,0,0.191133099,0.205548383,0.06793049,0.12385073,0.322225619,0.251208006,0.134565522,0,0.272144003,0.097374714,0.125716428,0.282791186,0.214174455,0.562543737,0.208250227
alphabet_b290805347,0.045941905,0.072171589,0.051197482,0.432719393,0.181947113,0.223681265,0.295033408,0.145007511,0.154011335,0.058488889,0.05594396,0.547234992,0.54468928,0.051653736,0.120844297,0.138085475,0.057443985,0.066043052,0.144500941,0.384406602,0.046916629,0.170657987,0.207660405,0.138584974,0.126773138,0.025345622,0.047349557,0.22744705,0.119103774,0.18628068,0.148124446,0.098243548,0.612372436,0.043906384,0.008516238,0.260094787,0.289886425,0.278508101,0.297498213,0.219700754,0,0.037569061,0.018624393,0.225239702,0.264952781,0.134345794,0.268806858,0.079533092
alphabet_b290805349,0.036385608,0.239323376,0.075229696,0.604725125,0.20271754,0.457136462,0.535696854,0.242113926,0.117262226,0.040838095,0.088400522,0.478355611,0.306511513,0.226214782,0.323288912,0.335467592,0,0.188324129,0.224766401,0.402727313,0.104555202,0.381074169,0.495828251,0.370399841,0,0.077755834,0.013232005,0.487514164,0.1875,0.419970631,0.488850054,0.160474929,0,0.121016078,0.031143444,0.337883096,0.273120606,0.11464384,0.147133667,0.100716002,0,0.298235609,0.049518877,0.5457175,0.437040923,0.442367601,0.314643107,0.089029918
alphabet_b290805350,0.047539012,0.12640168,0.061859576,0.488239611,0.333058834,0.666492576,0.546022182,0.269147396,0.2352562,0.057701587,0.02486093,0.52788924,0.836840802,0.795426705,0.684491979,0.129900647,0,0.065958526,0.233235382,0.577572998,0.107479368,0.213438735,0.220102464,0.314258559,0,0.095457538,0.046837524,0.278000523,0.254716981,0.230333543,0.413163336,0.245216367,0,0.154076682,0.018257358,0.169383886,0.584099513,0.4249465,0.263559685,0.315159733,0,0.049937623,0.019931658,0.235872302,0.363064008,0.686915888,0.260671798,0.276087942
alphabet_b290805357,0.033060153,0.154184759,0.093355257,0.414622724,0.147360234,0.268298142,0.359164885,0.115590455,0.149480595,0.175390476,0.178806401,0.687119662,0.249071552,0.335851368,0.304416716,0.118577511,0.057443985,0.026625718,0.152111467,0.220417633,0.065956202,0.176703092,0.329568187,0.135711602,0,0.155877405,0.056494282,0.32955635,0.08932783,0.083280889,0.174485576,0.058070847,0,0.036105033,0.052686463,0.244581359,0.624121147,0.214918985,0.206804861,0.184638074,0,0.047050437,0.031837701,0.10321924,0.069779643,0.087227414,0.19169874,0.04206709
alphabet_b290805358,0.022976789,0.082884001,0.034225565,0.342788243,0.081571964,0.279042006,0.302649073,0.134897506,0.12298566,0.031238095,0.059501408,0.166883686,0.073780639,0.117394855,0.089494384,0.072449141,0,0.049729517,0.040479414,0.529483868,0.065306388,0.217856312,0.151524762,0.147846076,0,0.100541292,0.019070975,0.152052645,0.056898585,0.150199287,0.084006104,0.07634187,0,0.040338693,0.026070116,0.263949447,0.18388318,0.309385509,0.450922087,0.314850496,0,0.057850651,0.019294573,0.175879801,0.176810073,0.246495327,0.336730231,0.048050771
