"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86"
"1","a","EMG7_stdev_0","EMG7_total_energy_0","EMG7_min_0","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ACCLZ_mean_0","ORN1_min_0","EMG1_stdev_0","ORN1_mean_0","ACCLZ_total_energy_0","EMG1_min_0","EMG1_total_energy_0","ORN1_total_energy_0","EMG3_max_0","EMG3_stdev_0","EMG3_total_energy_0","EMG1_max_0","EMG2_max_0","GYR3_min_0","EMG7_max_0","ORN1_max_0","ACCLY_mean_0","EMG4_stdev_0","EMG2_stdev_0","EMG4_total_energy_0","ACCLY_total_energy_0","EMG2_total_energy_0","ACCLZ_max_0","GYR3_total_energy_0","ORN2_min_0","EMGO_stdev_0","GYR3_stdev_0","ORN1_stdev_0","EMGO_total_energy_0","ACCLX_min_0","GYR1_stdev_0","ACCLX_mean_0","ACCLX_total_energy_0","GYR1_total_energy_0","EMG6_min_0","EMG4_max_0","EMG6_max_0","ORN2_mean_0","ORN2_total_energy_0","ACCLZ_min_0","EMG2_mean_0","EMG6_stdev_0","EMG6_total_energy_0","ORN3_stdev_0","EMG3_mean_0","EMG5_stdev_0","EMG5_total_energy_0","EMGO_min_0","ACCLY_max_0","EMG3_min_0","EMG5_min_0","EMGO_max_0","EMG2_min_0","EMG4_min_0","EMG4_mean_0","EMG5_max_0","GYR3_mean_0","ACCLZ_stdev_0","EMG5_mean_0","ACCLY_min_0","GYR2_min_0","ACCLX_stdev_0","GYR1_mean_0","GYR2_max_0","ORN2_max_0","GYR2_stdev_0","EMG1_mean_0","GYR2_total_energy_0","ACCLY_stdev_0","GYR1_max_0","GYR2_mean_0","EMG6_mean_0","ACCLX_max_0","GYR1_min_0","GYR3_max_0","EMGO_mean_0","ORN2_stdev_0","EMG7_mean_0"
"2","b","ACCLX_min_0","GYR2_min_0","GYR1_max_0","ORN1_min_0","ACCLX_stdev_0","ACCLY_stdev_0","ORN1_max_0","ORN1_mean_0","ORN3_min_0","ORN1_total_energy_0","ORN3_mean_0","ORN3_total_energy_0","ORN3_max_0","GYR3_min_0","GYR1_stdev_0","GYR1_total_energy_0","EMG2_max_0","ACCLY_min_0","ORN3_stdev_0","EMG5_stdev_0","GYR3_stdev_0","EMG5_total_energy_0","GYR3_total_energy_0","EMG5_min_0","GYR3_max_0","EMG2_total_energy_0","ACCLZ_max_0","ACCLY_total_energy_0","GYR2_stdev_0","EMG1_max_0","EMGO_total_energy_0","ACCLY_mean_0","ACCLX_max_0","EMG6_min_0","EMG7_min_0","GYR2_total_energy_0","EMGO_stdev_0","EMG6_stdev_0","EMG6_total_energy_0","EMG6_max_0","EMG5_max_0","EMG1_stdev_0","EMG3_stdev_0","GYR2_max_0","EMG4_max_0","EMGO_max_0","GYR1_min_0","EMG2_stdev_0","ORN2_max_0","GYR2_mean_0","EMG7_stdev_0","ACCLX_total_energy_0","ACCLX_mean_0","ORN2_stdev_0","ACCLY_max_0","ACCLZ_total_energy_0","EMG4_stdev_0","ACCLZ_mean_0","ORN2_mean_0","EMG1_min_0","ORN2_total_energy_0","GYR3_mean_0","EMGO_min_0","EMG7_total_energy_0","EMG7_max_0","ORN2_min_0","ORN1_stdev_0","EMG3_total_energy_0","EMG4_total_energy_0","EMG4_min_0","EMG1_total_energy_0","ACCLZ_stdev_0","EMGO_mean_0","EMG5_mean_0","EMG7_mean_0","EMG3_min_0","ACCLZ_min_0","EMG3_max_0","EMG1_mean_0","EMG6_mean_0","GYR1_mean_0","EMG2_min_0","EMG4_mean_0","EMG2_mean_0","EMG3_mean_0"
"3","c","EMGO_stdev_0","EMGO_total_energy_0","ACCLZ_max_0","ORN3_mean_0","ORN3_max_0","ACCLX_min_0","ACCLZ_min_0","ORN3_min_0","ORN3_total_energy_0","ORN2_stdev_0","ACCLZ_total_energy_0","ACCLZ_mean_0","ORN1_max_0","ORN2_max_0","ORN1_mean_0","ORN1_total_energy_0","EMG7_total_energy_0","EMG7_stdev_0","GYR2_mean_0","GYR2_stdev_0","GYR3_mean_0","EMG7_min_0","GYR2_min_0","EMG6_total_energy_0","GYR2_total_energy_0","EMG6_stdev_0","GYR3_total_energy_0","EMG5_stdev_0","EMG5_total_energy_0","EMGO_min_0","ACCLZ_stdev_0","GYR3_stdev_0","EMG5_min_0","ACCLX_stdev_0","GYR1_total_energy_0","EMG2_min_0","ACCLY_stdev_0","EMGO_max_0","EMG2_stdev_0","EMG2_total_energy_0","ACCLY_mean_0","EMG5_max_0","EMG6_min_0","ORN2_min_0","ACCLY_total_energy_0","EMG2_max_0","GYR1_stdev_0","EMG6_max_0","ORN3_stdev_0","EMG4_total_energy_0","ORN1_min_0","GYR3_min_0","ORN2_mean_0","ACCLY_max_0","ORN2_total_energy_0","ACCLX_mean_0","EMG7_max_0","EMG4_stdev_0","ACCLX_total_energy_0","EMG1_min_0","EMG1_total_energy_0","EMG1_stdev_0","GYR1_mean_0","GYR1_min_0","EMG4_min_0","EMG3_max_0","EMG3_stdev_0","EMG3_total_energy_0","EMG4_max_0","GYR1_max_0","GYR2_max_0","EMG1_max_0","EMGO_mean_0","GYR3_max_0","ACCLY_min_0","EMG3_mean_0","ORN1_stdev_0","EMG3_min_0","EMG4_mean_0","EMG1_mean_0","EMG7_mean_0","EMG5_mean_0","EMG6_mean_0","EMG2_mean_0","ACCLX_max_0"
"4","d","ORN3_max_0","ORN3_mean_0","ORN3_min_0","ORN3_total_energy_0","ORN1_mean_0","ORN1_total_energy_0","EMG3_stdev_0","ORN2_mean_0","ORN2_total_energy_0","ACCLY_mean_0","ORN2_stdev_0","GYR2_mean_0","GYR3_total_energy_0","ORN2_max_0","GYR3_stdev_0","ACCLY_total_energy_0","ORN2_min_0","EMG3_total_energy_0","EMG4_total_energy_0","EMG4_stdev_0","GYR3_min_0","ORN1_min_0","EMG2_total_energy_0","ACCLX_min_0","ACCLY_min_0","EMG2_stdev_0","EMG7_stdev_0","EMG7_total_energy_0","ACCLX_mean_0","EMG1_stdev_0","ACCLX_total_energy_0","ORN1_max_0","EMG1_total_energy_0","EMG6_stdev_0","EMG2_max_0","EMG6_total_energy_0","ACCLX_stdev_0","EMG5_stdev_0","EMG5_total_energy_0","ACCLY_max_0","EMG6_max_0","EMG3_max_0","EMG7_max_0","EMG1_max_0","ACCLY_stdev_0","EMGO_total_energy_0","GYR2_stdev_0","EMGO_stdev_0","EMG6_min_0","EMG5_max_0","ACCLX_max_0","EMG2_min_0","GYR2_total_energy_0","ACCLZ_stdev_0","GYR3_max_0","GYR3_mean_0","GYR1_mean_0","GYR2_max_0","EMG1_mean_0","GYR2_min_0","EMG3_min_0","ACCLZ_total_energy_0","ACCLZ_mean_0","GYR1_total_energy_0","EMGO_max_0","EMG4_min_0","GYR1_stdev_0","EMG5_min_0","EMG7_min_0","GYR1_max_0","ACCLZ_max_0","ORN3_stdev_0","GYR1_min_0","EMG4_mean_0","EMG4_max_0","EMG1_min_0","EMGO_min_0","EMG2_mean_0","ACCLZ_min_0","EMGO_mean_0","EMG3_mean_0","EMG7_mean_0","EMG6_mean_0","EMG5_mean_0","ORN1_stdev_0"
"5","e","ORN3_min_0","ORN3_mean_0","ORN3_max_0","ORN3_total_energy_0","ORN2_total_energy_0","ORN2_mean_0","ORN1_max_0","ORN1_mean_0","ORN1_total_energy_0","ORN2_max_0","ORN1_min_0","ACCLX_mean_0","ACCLY_mean_0","ACCLX_total_energy_0","ACCLY_total_energy_0","ACCLY_max_0","ACCLY_min_0","EMG6_total_energy_0","EMG6_stdev_0","ORN2_min_0","GYR1_max_0","GYR2_stdev_0","GYR2_total_energy_0","ACCLX_max_0","GYR2_max_0","EMG2_min_0","EMG2_total_energy_0","EMG2_stdev_0","GYR2_min_0","EMG4_min_0","EMG5_total_energy_0","EMG5_stdev_0","EMG6_max_0","GYR3_max_0","EMG5_min_0","EMG1_total_energy_0","EMG6_min_0","ACCLZ_mean_0","GYR2_mean_0","EMG1_stdev_0","ACCLZ_total_energy_0","ACCLX_min_0","EMG7_stdev_0","EMG7_total_energy_0","EMG2_max_0","ACCLY_stdev_0","ACCLX_stdev_0","EMG4_total_energy_0","EMG3_mean_0","ORN1_stdev_0","ORN2_stdev_0","EMG4_stdev_0","EMG5_max_0","GYR3_stdev_0","GYR1_mean_0","GYR1_min_0","GYR3_total_energy_0","EMG7_max_0","ACCLZ_stdev_0","GYR1_total_energy_0","ACCLZ_min_0","EMG7_min_0","EMGO_stdev_0","EMG1_min_0","GYR1_stdev_0","EMGO_total_energy_0","EMG1_max_0","GYR3_mean_0","EMG3_total_energy_0","EMGO_min_0","GYR3_min_0","EMG3_stdev_0","EMG3_max_0","ACCLZ_max_0","EMG4_max_0","ORN3_stdev_0","EMG6_mean_0","EMGO_max_0","EMG2_mean_0","EMG3_min_0","EMG1_mean_0","EMG7_mean_0","EMGO_mean_0","EMG4_mean_0","EMG5_mean_0"
"6","f","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","EMG5_stdev_0","EMG5_total_energy_0","ACCLY_mean_0","ACCLY_total_energy_0","ORN1_mean_0","ORN1_total_energy_0","EMG7_min_0","ORN2_mean_0","ORN2_total_energy_0","EMG2_total_energy_0","ACCLZ_min_0","EMG2_stdev_0","EMG5_min_0","ACCLZ_mean_0","EMG6_min_0","ACCLZ_total_energy_0","ORN1_min_0","ORN2_min_0","ACCLX_mean_0","ORN2_max_0","EMG6_stdev_0","ACCLY_stdev_0","ORN3_stdev_0","EMG4_stdev_0","ACCLZ_stdev_0","EMG4_total_energy_0","ACCLX_total_energy_0","GYR3_max_0","EMG7_stdev_0","GYR2_mean_0","EMG1_max_0","EMG6_total_energy_0","ORN1_max_0","ACCLX_min_0","GYR1_min_0","GYR2_min_0","EMG7_total_energy_0","EMG2_min_0","GYR1_mean_0","EMG7_max_0","ACCLY_max_0","ACCLX_max_0","GYR3_min_0","EMGO_total_energy_0","EMGO_stdev_0","ACCLX_stdev_0","EMG3_stdev_0","GYR3_total_energy_0","EMG2_max_0","EMG1_total_energy_0","ACCLZ_max_0","EMG1_min_0","EMG3_total_energy_0","GYR3_stdev_0","EMG5_max_0","EMGO_max_0","EMG1_stdev_0","EMG3_max_0","GYR1_stdev_0","EMG3_mean_0","ORN2_stdev_0","GYR1_total_energy_0","EMGO_min_0","GYR1_max_0","EMG7_mean_0","ACCLY_min_0","EMG4_max_0","EMG6_max_0","EMG5_mean_0","GYR2_total_energy_0","GYR3_mean_0","EMG4_min_0","ORN1_stdev_0","EMGO_mean_0","EMG1_mean_0","EMG3_min_0","EMG6_mean_0","GYR2_stdev_0","EMG4_mean_0","EMG2_mean_0","GYR2_max_0"
"7","g","EMGO_stdev_0","EMGO_total_energy_0","EMG7_min_0","ACCLZ_mean_0","ACCLZ_total_energy_0","EMG1_min_0","EMG7_stdev_0","EMG7_total_energy_0","ORN3_mean_0","ORN3_total_energy_0","EMG6_min_0","EMG1_stdev_0","EMG1_total_energy_0","EMGO_max_0","ORN3_max_0","ACCLZ_max_0","ORN3_min_0","ORN1_max_0","ORN1_mean_0","ORN1_min_0","ORN1_total_energy_0","EMG7_max_0","EMG6_stdev_0","EMG6_total_energy_0","EMG1_max_0","ORN2_stdev_0","ACCLY_total_energy_0","ACCLY_mean_0","ACCLY_max_0","EMGO_min_0","ACCLY_stdev_0","GYR1_max_0","GYR1_total_energy_0","GYR2_max_0","EMG6_max_0","GYR1_stdev_0","ACCLY_min_0","ACCLX_mean_0","EMG3_max_0","EMG2_min_0","ACCLX_total_energy_0","ACCLX_min_0","EMG2_total_energy_0","GYR3_max_0","ORN2_total_energy_0","ORN2_mean_0","EMG2_stdev_0","ACCLX_stdev_0","GYR3_stdev_0","GYR3_total_energy_0","GYR2_min_0","EMG3_total_energy_0","EMG4_max_0","EMG3_stdev_0","EMG4_min_0","ORN2_min_0","EMG5_stdev_0","EMG5_total_energy_0","GYR1_mean_0","ORN2_max_0","ACCLZ_stdev_0","GYR1_min_0","EMG5_max_0","EMG4_stdev_0","GYR2_stdev_0","GYR2_total_energy_0","EMG3_min_0","EMG4_total_energy_0","GYR2_mean_0","EMG5_min_0","GYR3_mean_0","ORN1_stdev_0","EMG2_max_0","ACCLX_max_0","ACCLZ_min_0","GYR3_min_0","EMG2_mean_0","EMG5_mean_0","EMG1_mean_0","ORN3_stdev_0","EMG4_mean_0","EMG3_mean_0","EMG7_mean_0","EMG6_mean_0","EMGO_mean_0"
"8","h","ACCLZ_mean_0","ORN1_mean_0","ORN1_max_0","ACCLZ_total_energy_0","ORN1_total_energy_0","ACCLX_mean_0","ORN2_mean_0","ORN3_min_0","ACCLX_total_energy_0","ORN2_total_energy_0","ORN3_mean_0","ORN3_total_energy_0","ACCLY_mean_0","ACCLZ_max_0","ACCLZ_min_0","ORN2_min_0","ACCLY_total_energy_0","ORN3_max_0","ORN2_max_0","ACCLX_min_0","EMG5_total_energy_0","EMG2_total_energy_0","ACCLY_max_0","EMG5_stdev_0","EMG4_total_energy_0","EMG2_stdev_0","EMG4_stdev_0","EMG4_min_0","EMG3_max_0","EMG2_min_0","ACCLX_max_0","EMG5_min_0","EMG6_mean_0","EMG2_mean_0","ORN1_min_0","GYR2_max_0","GYR3_mean_0","EMGO_total_energy_0","EMG1_min_0","EMGO_stdev_0","EMG6_stdev_0","EMG1_max_0","EMG6_total_energy_0","EMG6_min_0","EMG3_stdev_0","EMG7_min_0","EMG3_total_energy_0","EMG1_total_energy_0","EMG1_stdev_0","GYR3_min_0","ORN1_stdev_0","EMG1_mean_0","GYR3_total_energy_0","EMG4_mean_0","EMG2_max_0","GYR3_stdev_0","EMG7_stdev_0","EMG7_total_energy_0","GYR3_max_0","EMGO_mean_0","EMG4_max_0","GYR2_mean_0","EMGO_max_0","EMG7_mean_0","GYR1_stdev_0","GYR1_total_energy_0","EMG3_mean_0","GYR1_max_0","EMG3_min_0","EMG6_max_0","GYR1_mean_0","EMG5_max_0","ACCLZ_stdev_0","EMGO_min_0","GYR1_min_0","GYR2_stdev_0","EMG7_max_0","GYR2_total_energy_0","ACCLX_stdev_0","ORN2_stdev_0","ORN3_stdev_0","ACCLY_stdev_0","ACCLY_min_0","EMG5_mean_0","GYR2_min_0"
"9","i","ORN1_max_0","ORN3_mean_0","ORN3_min_0","ORN3_total_energy_0","ORN3_max_0","EMG1_mean_0","ACCLY_mean_0","ACCLY_total_energy_0","ACCLZ_mean_0","ACCLZ_total_energy_0","ORN1_mean_0","ORN1_total_energy_0","EMG6_max_0","EMG5_max_0","EMG3_max_0","GYR1_min_0","EMG6_stdev_0","ACCLY_min_0","EMG1_stdev_0","EMG1_total_energy_0","EMG7_stdev_0","EMG6_total_energy_0","GYR1_mean_0","ORN1_min_0","EMG2_mean_0","EMG5_stdev_0","ACCLX_mean_0","ORN2_mean_0","EMG7_total_energy_0","ACCLX_total_energy_0","ORN2_total_energy_0","ACCLZ_max_0","ACCLX_min_0","ACCLY_max_0","EMG3_total_energy_0","EMG5_total_energy_0","EMG1_max_0","EMG3_stdev_0","EMG6_min_0","ORN2_min_0","EMG4_stdev_0","EMG4_total_energy_0","EMG4_min_0","ACCLZ_min_0","ORN2_max_0","EMG1_min_0","ACCLX_max_0","EMG7_max_0","GYR1_stdev_0","EMG4_max_0","ACCLY_stdev_0","GYR1_total_energy_0","EMG7_min_0","GYR1_max_0","EMGO_min_0","EMG3_min_0","GYR3_mean_0","EMG5_min_0","GYR2_max_0","EMG2_min_0","ORN3_stdev_0","EMGO_stdev_0","EMGO_total_energy_0","GYR3_stdev_0","GYR3_total_energy_0","EMG2_max_0","ACCLX_stdev_0","GYR3_min_0","GYR2_mean_0","ACCLZ_stdev_0","GYR3_max_0","EMG2_total_energy_0","EMGO_max_0","EMG2_stdev_0","ORN1_stdev_0","ORN2_stdev_0","EMG7_mean_0","GYR2_stdev_0","GYR2_total_energy_0","GYR2_min_0","EMGO_mean_0","EMG3_mean_0","EMG4_mean_0","EMG6_mean_0","EMG5_mean_0"
"10","j","ACCLY_mean_0","GYR1_mean_0","ORN1_mean_0","ORN1_max_0","ACCLY_stdev_0","GYR1_stdev_0","ORN1_stdev_0","GYR1_total_energy_0","ORN1_total_energy_0","ACCLY_max_0","GYR1_max_0","ACCLZ_mean_0","ORN3_max_0","ORN3_min_0","ACCLZ_total_energy_0","ORN3_mean_0","ORN3_stdev_0","ORN3_total_energy_0","GYR3_mean_0","ACCLY_total_energy_0","GYR3_stdev_0","GYR3_max_0","GYR3_total_energy_0","ACCLZ_stdev_0","ACCLZ_max_0","EMG6_min_0","ORN2_max_0","EMG1_total_energy_0","ACCLX_stdev_0","ORN1_min_0","EMG1_stdev_0","ORN2_stdev_0","EMG1_max_0","EMG3_total_energy_0","ACCLX_min_0","EMG2_mean_0","GYR2_stdev_0","ORN2_mean_0","EMG6_total_energy_0","ORN2_total_energy_0","ACCLX_mean_0","EMG6_stdev_0","ACCLX_total_energy_0","GYR2_total_energy_0","EMG2_total_energy_0","EMG1_mean_0","EMG7_min_0","EMG2_stdev_0","EMG3_stdev_0","ACCLY_min_0","GYR2_max_0","ORN2_min_0","GYR1_min_0","GYR2_mean_0","EMG2_min_0","EMG7_total_energy_0","EMG3_mean_0","EMG3_min_0","EMG4_mean_0","ACCLX_max_0","EMG7_stdev_0","GYR3_min_0","EMGO_max_0","ACCLZ_min_0","EMG6_max_0","EMGO_total_energy_0","EMG2_max_0","EMG3_max_0","EMG1_min_0","EMGO_stdev_0","EMG5_min_0","EMG4_max_0","EMG5_stdev_0","EMG5_total_energy_0","EMG4_stdev_0","EMG5_max_0","EMG4_total_energy_0","GYR2_min_0","EMG5_mean_0","EMG4_min_0","EMGO_mean_0","EMGO_min_0","EMG6_mean_0","EMG7_max_0","EMG7_mean_0"
