0,0,-4,-2,-1,2,-4,1,0.630859,-0.460449,0.645508,0.8125,-0.6875,-1.25,72,51,146
0,-1,-2,-4,-7,-10,-15,-6,0.625,-0.460449,0.649414,-0.25,0.3125,-0.5625,72,51,146
-5,-6,-5,-16,-14,0,20,4,0.628906,-0.464355,0.657227,-0.8125,-2.875,-0.3125,72,51,146
0,2,3,7,-1,-23,-22,-27,0.634277,-0.481934,0.632324,3,-0.6875,0.875,72,51,146
73,39,15,1,-6,10,30,114,0.633301,-0.43457,0.636719,4.4375,5.375,1.875,72,51,146
-33,-20,-16,-17,-24,-41,-60,-115,0.620117,-0.437988,0.726562,15.6875,-6.4375,13.25,72,52,146
-29,1,16,-10,-14,-12,-11,34,0.563477,-0.549805,0.663574,-16.625,-22.4375,-17.1875,72,51,146
1,-30,26,5,6,5,27,-21,0.630859,-0.539062,0.666016,-2.5,-31.25,-27.0625,72,49,146
47,8,46,32,28,7,-20,47,0.726074,-0.336426,0.579102,17.375,1.4375,-0.9375,72,48,146
9,-41,-18,12,20,7,5,47,0.72168,-0.387207,0.551758,-6.5625,8.75,-4.375,72,48,146
1,30,7,-12,-17,-3,-23,-8,0.644531,-0.473145,0.621094,4.5625,18.25,7.8125,72,49,146
4,9,42,24,8,7,40,30,0.631836,-0.397949,0.668945,8.9375,8.375,8.4375,72,49,146
11,-7,-5,-16,-17,-12,18,7,0.627441,-0.473145,0.658691,-3.125,-1.3125,1.875,72,50,146
11,-5,21,6,-1,-16,19,6,0.642578,-0.447754,0.643066,5.5625,-2.625,3.6875,72,50,146
7,12,-3,10,3,-21,-13,-6,0.65332,-0.461426,0.642578,-2.8125,-0.4375,0.1875,72,50,146
-17,-52,-15,3,3,10,-6,-34,0.634277,-0.469238,0.635742,1.0625,0.25,-1,72,50,146
-15,-44,-11,4,3,1,-18,-24,0.650879,-0.435547,0.638672,1.75,-0.25,-4.5,72,50,146
-16,40,-18,-46,-31,9,-32,-24,0.648926,-0.436523,0.641602,-1.25,0.25,-5,72,50,146
33,-4,-41,-2,9,9,31,88,0.645996,-0.428223,0.635254,-0.875,1.0625,-2.25,73,50,146
-8,3,10,6,13,4,-43,-28,0.643555,-0.439453,0.64502,-1.5,0.625,-0.9375,73,50,146
4,24,17,6,6,0,0,35,0.64502,-0.44043,0.651367,0.4375,0.125,1,73,50,146
15,29,9,-1,2,-3,14,19,0.641602,-0.44043,0.645996,0.1875,0,1.3125,72,50,146
-12,-46,-11,-9,-8,-2,-9,15,0.649902,-0.44043,0.652832,-0.25,-0.4375,0.875,72,50,146
11,54,39,6,-3,-3,13,0,0.650879,-0.439941,0.644531,0,0,-0.1875,72,50,146
-33,-29,-7,-8,-4,-8,-29,-68,0.64209,-0.439453,0.645996,0.6875,0.3125,-0.6875,72,50,146
22,14,6,17,13,14,38,33,0.641113,-0.435547,0.650879,-0.375,1.1875,0.125,72,50,146
-12,1,17,-6,-6,4,-2,32,0.640625,-0.443848,0.641113,-0.25,0.625,0.25,72,50,146
24,34,48,23,6,-9,12,18,0.643066,-0.434082,0.644043,0.1875,-0.0625,0.6875,72,50,146
-5,38,10,-1,-4,-11,-14,-27,0.646973,-0.441406,0.646484,-0.4375,0.1875,0.9375,72,50,146
-18,-1,-6,1,-5,-20,7,-24,0.636719,-0.441895,0.647461,0.25,0.625,1.375,72,50,146
-26,-47,-10,-9,-12,-23,-38,-29,0.643066,-0.444336,0.647949,0.125,-0.625,0,72,50,146
-4,-10,0,3,3,-12,-21,0,0.645996,-0.44043,0.635742,-0.75,0.1875,-1.0625,72,50,146
0,-2,7,8,6,-3,23,20,0.642578,-0.455078,0.649902,-0.125,0,-2.375,72,50,146
9,51,7,2,4,10,16,10,0.641602,-0.437012,0.652344,1.125,-0.3125,-1.375,72,50,146
-28,-33,-10,-7,-8,-9,-43,-68,0.637207,-0.441895,0.647949,-0.1875,-0.75,-0.5,72,50,146
-2,-23,-4,5,2,4,32,16,0.643066,-0.435547,0.643555,0.8125,-1.5625,0.5625,72,50,146
12,15,6,2,-5,-13,3,23,0.650391,-0.446777,0.641602,-0.5,-1.0625,-0.625,72,50,146
18,-16,0,7,-1,-4,1,34,0.651367,-0.447266,0.638184,0.75,0.5625,-0.125,72,50,146
-16,-6,-5,10,-5,-19,-29,-35,0.64502,-0.442383,0.649414,-0.6875,0.1875,0.4375,72,50,146
17,14,-8,-15,-13,-4,7,15,0.63623,-0.442383,0.647949,0.1875,0.1875,0.25,72,50,146
-8,-20,-12,-7,-13,-11,13,-20,0.639648,-0.442871,0.643066,-0.0625,-0.375,-0.9375,72,50,146
6,13,10,1,8,2,-9,4,0.64502,-0.441406,0.64209,-0.1875,0.125,1.25,72,50,146
5,-4,2,2,5,0,3,14,0.640625,-0.442383,0.64502,0.1875,-0.5,2.0625,72,50,146
19,60,46,13,14,4,-9,7,0.644043,-0.453125,0.63623,-0.5,-0.375,1.1875,72,50,146
8,-4,13,8,0,6,24,-14,0.63916,-0.45459,0.64502,0.375,0.125,0.875,72,50,146
-3,-11,-9,-3,-5,3,7,8,0.640625,-0.450195,0.643066,-0.0625,0.0625,-0.9375,72,50,146
7,-33,0,-10,9,36,-6,10,0.647461,-0.445312,0.643555,0.75,-0.6875,-1.875,72,50,146
-1,23,-13,-3,-6,-5,7,18,0.638672,-0.448242,0.648926,-0.25,0.1875,-1.8125,72,50,146
-4,27,8,11,4,-12,-29,-22,0.646484,-0.447266,0.638184,1,0.3125,-1.4375,72,50,146
6,-21,-8,-6,-1,1,25,21,0.639648,-0.447754,0.645996,-0.25,-0.5,-2,72,50,146
2,-4,-10,0,11,31,5,-11,0.646484,-0.445312,0.638184,1.0625,-1.4375,-1.25,72,50,146
