10,-1,-4,-5,-5,-17,-5,3,0.79248,-0.307129,0.566895,-0.8125,-8.5,-5.6875,75,40,128
3,2,2,1,1,-2,-4,-3,0.804688,-0.297852,0.518555,-7.6875,16.8125,6.125,75,40,128
-4,-2,-1,2,4,15,-23,-7,0.770996,-0.212402,0.581055,0.1875,33.1875,25.1875,75,41,128
-5,-4,1,20,37,87,42,1,0.605469,-0.27832,0.834961,-31.625,2.6875,16.25,75,43,129
5,-2,-8,-13,-3,13,1,11,0.584961,-0.534668,0.677734,-3.625,-24.4375,-12.4375,74,43,129
-15,20,37,7,16,1,15,-2,0.748535,-0.304688,0.547363,15.9375,-42.75,-24.1875,75,41,129
-15,-24,-33,-10,-6,-19,-43,-15,0.831055,-0.286621,0.48877,-15.375,-22.125,-2.875,74,39,129
10,5,-15,-1,1,-7,-8,8,0.835938,-0.309082,0.455566,2.75,20.75,3.6875,74,39,129
11,0,10,23,18,7,-8,1,0.766602,-0.327637,0.558594,-10.75,46.8125,22.4375,74,41,129
-4,2,-13,-6,-20,-60,-10,-14,0.64502,-0.315918,0.701172,-7.625,19.6875,0.75,75,43,128
-10,-13,-8,-6,0,18,-6,-6,0.676758,-0.388184,0.692383,1.625,0.375,-0.6875,75,44,128
-1,-3,-5,-5,-11,-27,13,12,0.708984,-0.340332,0.623535,1.5625,-6.125,-0.6875,75,43,128
-16,-23,-12,-5,-3,-13,-3,-15,0.705078,-0.362793,0.640137,2.4375,-6.1875,2.1875,75,43,128
18,14,14,10,13,54,48,24,0.708984,-0.345215,0.631348,4.25,-8.4375,0.375,75,43,129
7,-12,-27,-17,-16,-28,-17,0,0.72168,-0.34375,0.615234,-0.4375,-11,-3.5625,75,43,129
3,-6,-16,-4,-14,-54,-22,1,0.736328,-0.340332,0.600586,1.375,-10,-5.1875,75,42,129
2,-2,-3,3,3,15,3,0,0.73877,-0.330566,0.589844,1.875,-7.875,-3.25,75,42,129
-6,-18,-16,-6,-12,-16,-4,2,0.732422,-0.327148,0.601562,1.9375,-4.3125,-1.125,75,42,129
3,0,0,-8,-6,2,1,-1,0.724121,-0.34375,0.601074,-1.1875,-3.8125,-0.8125,75,41,129
-3,-2,-4,-5,2,19,10,-11,0.734375,-0.339844,0.604004,-0.3125,-5,-0.1875,75,41,129
4,-1,-4,7,4,-25,-5,2,0.743652,-0.330078,0.599121,-0.75,-7,-1.875,75,41,129
-4,-1,-1,1,-2,-12,15,8,0.741699,-0.326172,0.588867,-0.75,-6.8125,-2.875,75,41,129
