Class,EMG0_mean,EMG1_mean,EMG2_mean,EMG3_mean,EMG4_mean,EMG5_mean,EMG6_mean,EMG7_mean,Accl0_mean,Accl1_mean,Accl2_mean,Gyr0_mean,Gyr1_mean,Gyr2_mean,Orien0_mean,Orien1_mean,Orien2_mean,EMG0_min,EMG1_min,EMG2_min,EMG3_min,EMG4_min,EMG5_min,EMG6_min,EMG7_min,Accl0_min,Accl1_min,Accl2_min,Gyr0_min,Gyr1_min,Gyr2_min,Orien0_min,Orien1_min,Orien2_min,EMG0_max,EMG1_max,EMG2_max,EMG3_max,EMG4_max,EMG5_max,EMG6_max,EMG7_max,Accl0_max,Accl1_max,Accl2_max,Gyr0_max,Gyr1_max,Gyr2_max,Orien0_max,Orien1_max,Orien2_max,EMG0_stdev,EMG1_stdev,EMG2_stdev,EMG3_stdev,EMG4_stdev,EMG5_stdev,EMG6_stdev,EMG7_stdev,Accl0_stdev,Accl1_stdev,Accl2_stdev,Gyr0_stdev,Gyr1_stdev,Gyr2_stdev,Orien0_stdev,Orien1_stdev,Orien2_stdev,EMG0_energy,EMG1_energy,EMG2_energy,EMG3_energy,EMG4_energy,EMG5_energy,EMG6_energy,EMG7_energy,Accl0_energy,Accl1_energy,Accl2_energy,Gyr0_energy,Gyr1_energy,Gyr2_energy,Orien0_energy,Orien1_energy,Orien2_energy
a,1.4313725490196079,-1.607843137254902,-1.1764705882352942,-0.058823529411764705,-1.3137254901960784,0.0,-0.39215686274509803,2.4705882352941178,0.9001991176470591,-0.27530439215686275,0.31333288235294116,-0.6924019607843137,2.0637254901960786,-1.8284313725490196,68.6078431372549,25.15686274509804,25.50980392156863,-63.0,-58.0,-36.0,-20.0,-36.0,-31.0,-29.0,-50.0,0.86377,-0.42871099999999995,0.219727,-25.5625,-2.125,-38.25,63.0,24.0,24.0,113.0,54.0,40.0,32.0,19.0,36.0,75.0,42.0,0.9516600000000001,-0.189941,0.350098,11.9375,25.125,3.9375,70.0,27.0,33.0,30.300663294364224,19.230266177432437,14.25300793847101,8.11273508677778,7.991220672909567,14.122322755127783,15.146060123177316,20.40720749262521,0.014087568106166598,0.03769919110276952,0.028986655866206468,5.569642088159354,5.5930130826896205,8.65888130708558,2.1916060902684933,0.7313699206176822,2.6105367189113284,46011.0,18622.0,10228.0,3291.0,3281.0,9972.0,11478.0,21134.0,41.338204000797,3.9364793758739998,5.049063564259,1575.49609375,1781.296875,3919.3125,240299.0,32303.0,33529.0
a,-5.745098039215686,-2.196078431372549,-1.6862745098039216,-0.803921568627451,-0.6274509803921569,-1.6470588235294117,0.11764705882352941,-0.19607843137254902,0.9048999803921572,-0.2747873921568627,0.29975678431372543,-0.05392156862745098,0.6458333333333334,-2.264705882352941,67.92156862745098,24.019607843137255,26.941176470588236,-51.0,-31.0,-28.0,-16.0,-9.0,-26.0,-29.0,-44.0,0.8183590000000001,-0.397949,0.22656199999999999,-17.4375,-9.5,-37.625,63.0,23.0,22.0,78.0,26.0,22.0,10.0,14.0,27.0,55.0,45.0,0.945801,-0.204102,0.353027,7.5,19.375,10.1875,71.0,28.0,33.0,23.8334581101903,8.988925648470206,10.110371300953158,5.455344564161415,4.621518297329247,11.396180990861392,12.888207103896999,14.91176663959457,0.020246582006343886,0.04857752703177816,0.023348328136561496,4.546444689394723,5.221165857992509,10.218446771000213,2.161880082288579,1.74917347428357,2.6639201542529958,30085.0,4286.0,5256.0,1521.0,1088.0,6632.0,8306.0,11120.0,41.781538904346995,3.968902461932999,4.609817838185999,1033.65625,1384.30078125,5482.40625,235514.0,29577.0,37372.0
a,-3.0392156862745097,-0.058823529411764705,0.6274509803921569,-1.9019607843137254,-1.3333333333333333,0.6862745098039216,-0.43137254901960786,-3.9411764705882355,0.8905675882352944,-0.30073335294117653,0.312021274509804,-0.6936274509803921,0.9240196078431373,0.31004901960784315,67.31372549019608,25.941176470588236,28.07843137254902,-87.0,-17.0,-41.0,-14.0,-10.0,-31.0,-20.0,-41.0,0.8457030000000001,-0.421875,0.285645,-13.75,-8.4375,-33.8125,62.0,24.0,24.0,44.0,41.0,38.0,15.0,6.0,32.0,21.0,25.0,0.909668,-0.177734,0.368652,4.9375,14.4375,12.125,70.0,30.0,35.0,24.356486433238867,9.849693933733946,13.39396996310463,5.254540520200731,3.7982452088650978,11.841436054935958,7.523974752644468,11.552336152840919,0.016757292292224852,0.05427324868029314,0.014513524408741565,2.710749864600453,2.8107581752274315,6.52128678809244,2.387385147632707,1.9329952375097301,3.005615659094836,30133.0,4851.0,8990.0,1565.0,812.0,7035.0,2840.0,7465.0,40.462682432225,4.759747304249,4.975753182620999,391.9453125,438.5625,2131.26171875,231373.0,34507.0,40660.0
a,1.0588235294117647,0.6666666666666666,-1.4901960784313726,0.09803921568627451,-1.2352941176470589,-0.6666666666666666,-0.09803921568627451,-1.1568627450980393,0.8951345294117646,-0.3002354901960784,0.30713847058823524,1.107843137254902,-0.23897058823529413,-2.3186274509803924,67.31372549019608,25.607843137254903,30.49019607843137,-64.0,-33.0,-27.0,-10.0,-21.0,-25.0,-18.0,-51.0,0.8491209999999999,-0.453613,0.24951199999999998,-22.125,-13.75,-46.25,62.0,23.0,26.0,104.0,66.0,51.0,25.0,15.0,34.0,18.0,38.0,0.9404299999999999,-0.16503900000000002,0.38867199999999996,14.375,17.125,16.875,70.0,32.0,35.0,31.411725049545353,17.605302231619504,12.455316212797827,5.71753409071003,6.574460389398107,9.951214331259614,9.323636419253562,17.938085236746545,0.015897508220287782,0.04954806909552482,0.019108120371562388,5.4086458337463705,3.8034668782727223,14.929832001011645,1.5683136941113724,1.7444590149676642,1.942910692951252,49392.0,15520.0,7870.0,1635.0,2239.0,4974.0,4347.0,16157.0,40.87719365138702,4.719959385791998,4.829292059085999,1525.265625,726.23046875,11419.171875,231211.0,33596.0,47601.0
a,2.784313725490196,1.196078431372549,0.4117647058823529,-0.4117647058823529,-0.8627450980392157,-2.196078431372549,-1.0980392156862746,-0.0784313725490196,0.8937366274509803,-0.31468286274509816,0.3016908235294118,-0.30392156862745096,0.5208333333333334,0.12990196078431374,66.25490196078431,25.980392156862745,32.72549019607843,-35.0,-44.0,-34.0,-10.0,-22.0,-22.0,-24.0,-42.0,0.875977,-0.369141,0.26757800000000004,-6.0625,-1.0,-14.25,64.0,25.0,31.0,55.0,66.0,39.0,8.0,8.0,17.0,16.0,25.0,0.9091799999999999,-0.275879,0.33007800000000004,1.125,9.5,2.5,67.0,28.0,36.0,21.618800822885802,20.490992760569835,17.396754261169793,4.13848508799167,5.325484420569221,8.148667640401435,7.443802528172773,14.524246124677045,0.00540556621626553,0.012621619259064357,0.0093255733286611,1.4448193879255258,1.8620245478152724,3.095304991466281,0.5947482578335803,0.3736413295357656,0.7766191182954229,23764.0,21067.0,15141.0,865.0,1456.0,3566.0,2832.0,10548.0,40.73848412892599,5.058255773014001,4.6462333189899985,109.0859375,187.19140625,479.90625,223893.0,34431.0,54649.0
b,-0.29411764705882354,-1.9215686274509804,-2.156862745098039,-2.0588235294117645,-1.4509803921568627,-0.7254901960784313,5.529411764705882,-0.8431372549019608,0.8734107254901962,-0.3881836274509804,0.271580137254902,-0.625,-0.16789215686274508,-1.6200980392156863,61.8235294117647,28.607843137254903,37.450980392156865,-13.0,-27.0,-92.0,-30.0,-9.0,-26.0,-76.0,-61.0,0.800293,-0.5170899999999999,0.250488,-15.8125,-8.1875,-25.4375,60.0,27.0,36.0,14.0,18.0,62.0,18.0,6.0,36.0,119.0,34.0,0.8974610000000001,-0.327148,0.339844,4.9375,11.4375,9.5625,63.0,35.0,40.0,4.504638132623125,8.409145348380898,32.448958411030446,8.389068517316762,3.7858353133235787,12.073240544895224,41.3005341084962,12.4841860752227,0.0227197072921976,0.04272223238687828,0.018557020656365726,3.228341292366716,3.1171524013331875,7.5916055936933455,0.6230853024407229,2.4337496286393057,0.9014150096419744,1019.0,3724.0,52884.0,3735.0,824.0,7315.0,86846.0,7829.0,38.930970320438995,7.776272416677003,3.7787624693029986,541.03125,487.26953125,3015.484375,194949.0,42035.0,71572.0
b,-0.7450980392156863,-0.803921568627451,-5.862745098039215,-2.7254901960784315,-1.607843137254902,-1.6666666666666667,-1.0196078431372548,-0.4117647058823529,0.8733245294117649,-0.40242990196078415,0.26197727450980385,-0.3541666666666667,-0.5036764705882353,-2.3541666666666665,61.0,28.705882352941178,38.88235294117647,-9.0,-13.0,-97.0,-24.0,-15.0,-28.0,-73.0,-21.0,0.770508,-0.635742,0.232422,-13.3125,-12.5625,-30.0625,60.0,27.0,37.0,7.0,22.0,82.0,14.0,13.0,21.0,79.0,33.0,0.905273,-0.343262,0.353027,12.8125,7.1875,12.125,62.0,36.0,41.0,3.103824333011789,6.330938659766457,32.4561363121633,7.6238531763736095,4.745854744395573,9.700859068488041,32.96452044006007,9.304142025115986,0.023658640922380084,0.056948652703731256,0.023850764849856227,3.8646164643683174,3.767944809605801,9.249845156361628,0.5291502622129182,2.934580839895596,1.0128585058838073,510.0,2037.0,54423.0,3285.0,1258.0,4847.0,54386.0,4337.0,38.925468981801,8.421598577839,3.5286796595350003,753.16015625,722.80859375,4560.62890625,189785.0,42456.0,77155.0
b,-1.392156862745098,-1.0392156862745099,-1.4313725490196079,-0.9607843137254902,-1.0588235294117647,-0.2549019607843137,-5.823529411764706,-1.0980392156862746,0.8608110980392158,-0.42115690196078426,0.27185780392156855,0.6421568627450981,-1.6066176470588236,-1.0036764705882353,61.0,29.980392156862745,39.705882352941174,-9.0,-16.0,-70.0,-17.0,-13.0,-46.0,-116.0,-22.0,0.7441409999999999,-0.643555,0.250488,-8.125,-23.1875,-32.1875,61.0,29.0,38.0,11.0,16.0,57.0,15.0,6.0,27.0,69.0,24.0,0.879395,-0.391113,0.39209,9.875,10.0,28.375,61.0,37.0,40.0,4.171706755621968,5.469774343841712,26.60395076071281,5.989860713952289,4.134787852869272,11.973041613984144,38.6096909505129,9.72266404224847,0.02515864261859523,0.04077424898842646,0.027739667801197326,2.419680971719611,5.323683729888766,8.080371779085125,0.0,1.8919851593332464,0.5401524839176002,969.0,1551.0,35493.0,1841.0,912.0,7171.0,76265.0,4788.0,37.82243093680201,9.129156908558004,3.8077144016919995,313.7734375,1548.72265625,3315.99609375,189771.0,46019.0,80419.0
b,-1.4313725490196079,-1.0980392156862746,-3.3333333333333335,-0.3137254901960784,-1.607843137254902,-0.8627450980392157,0.29411764705882354,-2.607843137254902,0.8200444705882353,-0.46118641176470593,0.342582,-0.5845588235294118,-1.3247549019607843,-1.6286764705882353,62.64705882352941,35.13725490196079,40.6078431372549,-13.0,-22.0,-66.0,-11.0,-13.0,-23.0,-85.0,-21.0,0.692871,-0.6391600000000001,0.276855,-26.9375,-28.0,-36.9375,62.0,33.0,39.0,9.0,19.0,71.0,18.0,6.0,31.0,112.0,14.0,0.8525389999999999,-0.40869099999999997,0.516113,14.6875,29.0625,29.3125,63.0,43.0,42.0,4.583688043315271,8.287954879126175,23.642052928345,4.7391568704926055,4.0648662038131045,10.95813781231672,32.932837179719,8.015181673231242,0.029094940697896556,0.037574114890001856,0.03686108023701962,6.472994664486492,8.537655741696632,10.50038996124598,0.4826397999239063,2.645899528274928,0.602608707953976,1155.0,3496.0,28514.0,1128.0,958.0,6042.0,54233.0,3559.0,34.33844539957,10.917928931704996,6.053420724735999,2112.41015625,3734.08203125,5648.19140625,200169.0,63316.0,84117.0
b,0.058823529411764705,0.6862745098039216,1.9607843137254901,0.1568627450980392,-0.13725490196078433,-1.0980392156862746,-5.411764705882353,-0.17647058823529413,0.8282399411764707,-0.4487305098039215,0.3280770784313727,0.1482843137254902,-0.9644607843137255,-0.7328431372549019,62.588235294117645,33.666666666666664,41.490196078431374,-15.0,-12.0,-45.0,-11.0,-6.0,-25.0,-79.0,-12.0,0.649414,-0.773926,0.214844,-16.0,-14.0625,-35.875,62.0,32.0,40.0,23.0,13.0,94.0,13.0,18.0,57.0,51.0,27.0,0.883301,-0.399902,0.464844,7.5,23.375,34.3125,63.0,39.0,42.0,5.6900325647781065,6.01162272960781,26.925794906976265,5.341806993966022,4.939715003289714,12.229889454873714,24.31968459547799,7.672563801892927,0.03708195452044662,0.05058861752148305,0.034111289776754636,3.633308598584632,6.108104949854036,9.139928528435105,0.4970501217477082,1.8293896978682969,0.7034926870865914,1619.0,1831.0,36446.0,1428.0,1221.0,7540.0,31066.0,2945.0,35.05380497571301,10.397273003009998,5.547542043507,661.16796875,1912.88671875,4204.3046875,199794.0,57973.0,87818.0
