"","X1","X2","X3","X4","X5","X6"
"1","a","ACCLZ_max_0","EMG2_stdev_0","EMG2_total_energy_0","EMG6_max_0","EMG1_stdev_0"
"2","b","EMGO_max_0","EMGO_stdev_0","EMGO_total_energy_0","ORN3_mean_0","ORN3_max_0"
"3","c","ORN3_max_0","ORN2_mean_0","ORN3_mean_0","ORN2_total_energy_0","ORN3_total_energy_0"
"4","d","ORN2_total_energy_0","ACCLX_mean_0","ACCLY_mean_0","ORN2_mean_0","ORN2_min_0"
"5","e","ORN1_mean_0","ORN1_total_energy_0","ACCLY_mean_0","ACCLY_total_energy_0","ORN1_max_0"
"6","f","ORN3_mean_0","ORN3_max_0","ORN1_min_0","ORN3_min_0","ORN3_total_energy_0"
"7","g","ACCLZ_mean_0","ACCLZ_max_0","EMG7_stdev_0","EMG7_total_energy_0","ACCLZ_total_energy_0"
"8","h","ACCLX_mean_0","ACCLZ_mean_0","ORN2_mean_0","ACCLX_total_energy_0","ACCLZ_total_energy_0"
"9","i","ACCLY_mean_0","ORN1_mean_0","ORN1_min_0","ACCLY_total_energy_0","ORN1_total_energy_0"
"10","j","GYR2_min_0","ACCLY_stdev_0","GYR1_max_0","GYR3_max_0","ORN2_max_0"
"11","k","GYR1_mean_0","ACCLZ_max_0","ACCLZ_mean_0","ORN3_max_0","ORN3_mean_0"
"12","l","ORN1_total_energy_0","ACCLZ_mean_0","ACCLZ_total_energy_0","ORN1_mean_0","ACCLY_mean_0"
"13","m","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ORN1_min_0"
"14","n","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ACCLX_max_0"
"15","o","ORN3_max_0","ORN3_mean_0","ORN3_total_energy_0","ORN3_min_0","EMG6_min_0"
"16","p","ACCLZ_mean_0","ACCLZ_total_energy_0","ORN2_mean_0","EMG6_stdev_0","EMG5_total_energy_0"
"17","q","ACCLZ_total_energy_0","ACCLZ_mean_0","EMG2_max_0","EMG1_min_0","EMG2_stdev_0"
"18","r","ORN2_mean_0","ORN3_max_0","ORN3_min_0","ORN2_total_energy_0","ACCLX_mean_0"
"19","s","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ACCLY_max_0"
"20","t","ORN3_max_0","ORN3_mean_0","ORN3_total_energy_0","ORN3_min_0","ORN1_total_energy_0"
"21","u","ORN3_min_0","ORN3_max_0","ORN3_total_energy_0","ORN3_mean_0","ACCLZ_mean_0"
"22","v","ORN3_max_0","ORN3_total_energy_0","ORN3_mean_0","ORN3_min_0","ORN1_max_0"
"23","w","ORN3_max_0","ORN3_mean_0","ORN3_min_0","ORN3_total_energy_0","ORN1_mean_0"
"24","x","ACCLZ_mean_0","ORN3_mean_0","ACCLZ_min_0","ORN3_min_0","ORN2_max_0"
"25","y","ORN1_min_0","ACCLZ_total_energy_0","ORN3_min_0","EMG6_stdev_0","EMG6_total_energy_0"
"26","z","ORN3_min_0","ORN3_max_0","ORN3_stdev_0","ACCLZ_stdev_0","GYR3_stdev_0"
