"","alphabet_name","Features","Range_Lower","Range_Upper","Threshold_lower","Threshold_upper","Weight","normalized_weight"
"323","alphabet_a","ORN3_stdev_3","1","5","0","0","3",1
"131","alphabet_a","GYR1_min_1","114","124","-2.09375","-0.625","1.33243845991561",0.441599905217203
"351","alphabet_a","ACCLZ_mean_4","83","93","0.30307625","0.32834475","1.33243845991561",0.441599905217203
"419","alphabet_a","ACCLZ_total_energy_4","83","93","0.9198860809335","1.0787382572105","1.33243845991561",0.441599905217203
"28","alphabet_a","ACCLZ_max_0","68","79","0.3208005","0.347412","1.26549167028499",0.41918208567859
"148","alphabet_a","GYR1_stdev_1","1","12","1.1851401991607","2.50537562967724","1.26549167028499",0.41918208567859
"453","alphabet_a","ACCLZ_max_5","81","92","0.3151855","0.338867","1.26549167028499",0.41918208567859
"368","alphabet_a","ACCLZ_max_4","80","92","0.312744","0.338623","1.20749972330731",0.399762887099966
"54","alphabet_a","EMG2_stdev_0","9","22","3.78850667085203","6.22975701105277","1.15634720085992",0.382633940013818
"71","alphabet_a","EMG2_total_energy_0","9","22","781","1979.5","1.15634720085992",0.382633940013818
"196","alphabet_a","ACCLX_max_2","70","84","0.913818","0.923584","1.11058971029925",0.367311574720595
"483","alphabet_a","EMG6_stdev_5","66","80","10.3613419782906","13.0000437468202","1.11058971029925",0.367311574720595
"504","alphabet_a","ACCLZ_total_energy_5","81","96","0.9023318077935","1.112285131028","1.06919702514102",0.353450809309503
"385","alphabet_a","ACCLZ_min_4","79","95","0.2805175","0.314697","1.03140846425162",0.340796921896581
"436","alphabet_a","ACCLZ_mean_5","80","96","0.3000243","0.3334473","1.03140846425162",0.340796921896581
"198","alphabet_a","ACCLZ_max_2","66","83","0.296875","0.347412","0.996646357992412",0.329156473875089
"241","alphabet_a","EMG2_total_energy_2","14","31","191.5","571","0.996646357992412",0.329156473875089
"275","alphabet_a","EMG2_max_3","9","26","3.5","9","0.996646357992412",0.329156473875089
"326","alphabet_a","EMG2_total_energy_3","4","21","54.5","351","0.996646357992412",0.329156473875089
"24","alphabet_a","EMG6_max_0","58","76","26.5","38","0.964461674621011",0.318379102357972
"300","alphabet_a","ACCLZ_min_3","81","99","0.2800295","0.322998","0.964461674621011",0.318379102357972
"309","alphabet_a","EMG2_stdev_3","5","23","2.38972513195586","6.02215295799832","0.964461674621011",0.318379102357972
"360","alphabet_a","EMG2_max_4","1","20","1","6","0.934498451243568",0.308345609517213
"53","alphabet_a","EMG1_stdev_0","35","55","3.43503515163006","5.1312098981757","0.906469727643324",0.298959903779346
"266","alphabet_a","ACCLZ_mean_3","75","95","0.2967286","0.33081055","0.906469727643324",0.298959903779346
"283","alphabet_a","ACCLZ_max_3","72","92","0.3041995","0.342773","0.906469727643324",0.298959903779346
"334","alphabet_a","ACCLZ_total_energy_3","75","95","0.881267572297","1.0968854411935","0.906469727643324",0.298959903779346
"500","alphabet_a","EMG6_total_energy_5","63","83","980","2457.5","0.906469727643324",0.298959903779346
"11","alphabet_a","ACCLZ_mean_0","72","93","0.28599123","0.3278223","0.880140788920975",0.290143388451614
"79","alphabet_a","ACCLZ_total_energy_0","72","93","4.1031448403595","5.387541238819","0.880140788920975",0.290143388451614
"139","alphabet_a","EMG2_stdev_1","3","24","1.3114627326981","4.29108865730158","0.880140788920975",0.290143388451614
"158","alphabet_a","EMG4_total_energy_1","77","98","1309.5","2012.5","0.880140788920975",0.290143388451614
"381","alphabet_a","EMG6_min_4","37","58","-33.5","-19","0.880140788920975",0.290143388451614
"56","alphabet_a","EMG4_stdev_0","96","118","10.1509617193799","14.2970573893693","0.855317205195943",0.2818309566932
"70","alphabet_a","EMG1_total_energy_0","32","54","603.5","1301","0.855317205195943",0.2818309566932
"73","alphabet_a","EMG4_total_energy_0","96","118","5227","10024.5","0.855317205195943",0.2818309566932
"165","alphabet_a","GYR1_total_energy_1","1","23","17.62890625","109.19921875","0.855317205195943",0.2818309566932
"470","alphabet_a","ACCLZ_min_5","77","99","0.27832","0.329834","0.855317205195943",0.2818309566932
"74","alphabet_a","EMG5_total_energy_0","58","81","12592.5","19327","0.83183610934642",0.273968070776969
"249","alphabet_a","ACCLZ_total_energy_2","71","94","0.760416259789","1.0640448128745","0.83183610934642",0.273968070776969
"449","alphabet_a","EMG6_max_5","68","91","14.5","29","0.83183610934642",0.273968070776969
"39","alphabet_a","EMG4_min_0","22","46","-38.5","-24","0.809559714635268",0.266508591399976
"181","alphabet_a","ACCLZ_mean_2","70","94","0.27458495","0.32604995","0.809559714635268",0.266508591399976
"57","alphabet_a","EMG5_stdev_0","57","82","15.6378435209808","19.8151918134214","0.78837041556533",0.25941313715459
"97","alphabet_a","GYR1_mean_1","91","116","0.503125","2.465625","0.78837041556533",0.25941313715459
"132","alphabet_a","GYR2_min_1","103","128","-3.25","-1.21875","0.78837041556533",0.25941313715459
"141","alphabet_a","EMG4_stdev_1","78","103","11.2312259164837","14.9370811316731","0.78837041556533",0.25941313715459
"313","alphabet_a","EMG6_stdev_3","69","94","12.5849362030106","21.3657414888648","0.78837041556533",0.25941313715459
"458","alphabet_a","ORN2_max_5","40","65","21.5","24","0.78837041556533",0.25941313715459
"58","alphabet_a","EMG6_stdev_0","59","85","10.5967215443582","19.7692265892498","0.768167029477043",0.252647825988885
"75","alphabet_a","EMG6_total_energy_0","59","85","5541.5","19715","0.768167029477043",0.252647825988885
"224","alphabet_a","EMG2_stdev_2","9","35","3.70883847206937","7.78291973749034","0.768167029477043",0.252647825988885
"258","alphabet_a","EMG2_mean_3","55","81","-1.7","0.35","0.768167029477043",0.252647825988885
"116","alphabet_a","GYR3_max_1","6","33","-0.3125","2.625","0.748861874281656",0.24618329665562
"140","alphabet_a","EMG3_stdev_1","19","46","3.75641882671162","5.69252450678002","0.748861874281656",0.24618329665562
"278","alphabet_a","EMG5_max_3","74","101","21.5","32.5","0.748861874281656",0.24618329665562
"330","alphabet_a","EMG6_total_energy_3","72","99","1757.5","5565","0.748861874281656",0.24618329665562
"399","alphabet_a","EMG7_stdev_4","62","89","6.66872562139631","10.106308473976","0.748861874281656",0.24618329665562
"12","alphabet_a","GYR1_mean_0","86","114","0.25","1.56375","0.730378468587643",0.239993938575964
"21","alphabet_a","EMG3_max_0","2","31","4","11","0.712649701627211",0.234057279020607
"105","alphabet_a","EMG2_max_1","1","30","0","6","0.712649701627211",0.234057279020607
"156","alphabet_a","EMG2_total_energy_1","2","31","26","263","0.712649701627211",0.234057279020607
"277","alphabet_a","EMG4_max_3","91","120","10.5","19","0.712649701627211",0.234057279020607
"441","alphabet_a","ORN2_mean_5","40","69","21.25","24","0.712649701627211",0.234057279020607
"496","alphabet_a","EMG2_total_energy_5","12","41","121.5","534","0.712649701627211",0.234057279020607
