"","X1","X2","X3","X4","X5","X6"
"1","a","EMG2_stdev_0","EMG7_stdev_0","EMG2_total_energy_0","EMG7_total_energy_0","ORN3_mean_0"
"2","b","GYR2_mean_0","EMG6_stdev_0","ACCLX_max_0","ORN3_mean_0","ORN3_total_energy_0"
"3","c","ORN3_total_energy_0","ORN3_mean_0","ORN3_max_0","ORN1_min_0","ORN1_mean_0"
"4","d","ACCLZ_max_0","GYR2_mean_0","ORN3_max_0","ORN1_max_0","EMGO_stdev_0"
"5","e","ORN2_max_0","ORN1_mean_0","ACCLZ_stdev_0","ORN1_total_energy_0","ORN3_mean_0"
"6","f","ACCLZ_mean_0","ORN3_min_0","ACCLZ_total_energy_0","ORN3_mean_0","ORN3_total_energy_0"
"7","g","ACCLY_mean_0","ORN3_min_0","ORN3_mean_0","ORN3_total_energy_0","ACCLY_total_energy_0"
"8","h","ACCLZ_mean_0","ACCLZ_total_energy_0","ACCLZ_max_0","ORN2_mean_0","ORN2_max_0"
"9","i","ORN3_mean_0","ORN3_total_energy_0","ORN3_max_0","ORN3_min_0","ORN1_min_0"
"10","j","ORN3_min_0","GYR3_max_0","EMG5_max_0","EMG5_stdev_0","EMG5_total_energy_0"
"11","k","ORN1_mean_0","ORN1_total_energy_0","ACCLY_mean_0","ACCLY_min_0","ACCLY_total_energy_0"
"12","l","ORN3_max_0","EMG7_total_energy_0","EMG7_stdev_0","EMG1_total_energy_0","ORN3_mean_0"
"13","m","ORN3_min_0","ORN3_mean_0","ORN3_max_0","ORN1_min_0","ORN3_total_energy_0"
"14","n","GYR2_mean_0","ORN3_max_0","ORN3_mean_0","ORN3_total_energy_0","ORN3_min_0"
"15","o","EMG6_total_energy_0","ORN1_mean_0","ORN1_total_energy_0","EMG7_stdev_0","EMG7_total_energy_0"
"16","p","ORN1_min_0","ACCLX_min_0","GYR3_min_0","GYR3_mean_0","ACCLZ_mean_0"
"17","q","GYR2_mean_0","EMG1_max_0","GYR1_mean_0","GYR3_mean_0","EMG1_stdev_0"
"18","r","ORN3_mean_0","ORN3_total_energy_0","ORN3_min_0","ORN3_max_0","GYR1_min_0"
"19","s","ORN2_max_0","ACCLX_min_0","EMG6_stdev_0","ORN3_stdev_0","EMG6_total_energy_0"
"20","t","ORN3_min_0","ACCLY_total_energy_0","ORN3_mean_0","ORN3_total_energy_0","ACCLY_mean_0"
"21","u","EMG1_stdev_0","EMG1_total_energy_0","EMG6_max_0","ORN1_mean_0","ORN1_min_0"
"22","v","ORN3_max_0","EMG5_stdev_0","EMG5_total_energy_0","ORN3_total_energy_0","EMG1_max_0"
"23","w","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ACCLZ_max_0"
"24","x","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ORN3_stdev_0"
"25","y","ORN3_mean_0","ORN3_min_0","ORN3_total_energy_0","ORN3_max_0","ACCLX_min_0"
"26","z","GYR3_max_0","GYR2_min_0","GYR2_stdev_0","ORN3_stdev_0","GYR2_total_energy_0"
