"","alphabet_name","Features","Range_Lower","Range_Upper","Threshold_lower","Threshold_upper","Weight","normalized_weight"
"117","alphabet_a","ORN1_max_1","80","84","64.5","65","3",1
"321","alphabet_a","ORN1_stdev_3","1","5","0","0","3",1
"406","alphabet_a","ORN1_stdev_4","1","5","0","0","3",1
"408","alphabet_a","ORN3_stdev_4","1","5","0","0","3",1
"491","alphabet_a","ORN1_stdev_5","1","5","0","0","3",1
"493","alphabet_a","ORN3_stdev_5","1","5","0","0","3",1
"329","alphabet_a","EMG5_total_energy_3","1","11","92","268.5","1.33243845991561",0.443519233081982
"40","alphabet_a","EMG5_min_0","122","133","-16.5","-8","1.26549167028499",0.421178467874323
"139","alphabet_a","EMG2_stdev_1","1","12","1.3984117975602","2.79483368124118","1.26549167028499",0.421178467874323
"196","alphabet_a","ACCLX_max_2","104","115","0.7250975","0.762207","1.26549167028499",0.421178467874323
"312","alphabet_a","EMG5_stdev_3","1","12","3.19026296373477","5.33470812971265","1.26549167028499",0.421178467874323
"26","alphabet_a","ACCLX_max_0","102","114","0.7250975","0.7624515","1.20749972330731",0.401826016793223
"102","alphabet_a","ORN3_mean_1","105","117","149.85","152.2","1.20749972330731",0.401826016793223
"136","alphabet_a","ORN3_min_1","105","117","149.5","152","1.20749972330731",0.401826016793223
"170","alphabet_a","ORN3_total_energy_1","105","117","224551.5","231650","1.20749972330731",0.401826016793223
"360","alphabet_a","EMG2_max_4","2","14","3","14","1.20749972330731",0.401826016793223
"16","alphabet_a","ORN2_mean_0","17","30","42.95","45.9","1.15634720085992",0.384755945172433
"84","alphabet_a","ORN2_total_energy_0","14","27","92396.5","105554","1.15634720085992",0.384755945172433
"221","alphabet_a","ORN3_min_2","104","117","149.5","152","1.15634720085992",0.384755945172433
"289","alphabet_a","ORN3_max_3","103","116","149.5","152","1.15634720085992",0.384755945172433
"17","alphabet_a","ORN3_mean_0","104","118","149.33","152.5","1.11058971029925",0.369486245777617
"50","alphabet_a","ORN2_min_0","15","29","40.5","44","1.11058971029925",0.369486245777617
"51","alphabet_a","ORN3_min_0","103","117","148.5","152","1.11058971029925",0.369486245777617
"78","alphabet_a","ACCLY_total_energy_0","22","36","12.855576292492","14.8052865834015","1.11058971029925",0.369486245777617
"85","alphabet_a","ORN3_total_energy_0","101","115","1114988.5","1162825","1.11058971029925",0.369486245777617
"187","alphabet_a","ORN3_mean_2","104","118","149.75","152.8","1.11058971029925",0.369486245777617
"255","alphabet_a","ORN3_total_energy_2","104","118","224252.5","233480","1.11058971029925",0.369486245777617
"272","alphabet_a","ORN3_mean_3","103","117","149.05","152","1.11058971029925",0.369486245777617
"298","alphabet_a","ACCLX_min_3","105","119","0.7041015","0.7441405","1.11058971029925",0.369486245777617
"340","alphabet_a","ORN3_total_energy_3","103","117","222159.5","231040","1.11058971029925",0.369486245777617
"77","alphabet_a","ACCLX_total_energy_0","103","118","23.902291000782","27.343209423688","1.06919702514102",0.355673122466748
"220","alphabet_a","ORN2_min_2","14","29","40.5","44","1.06919702514102",0.355673122466748
"242","alphabet_a","EMG3_total_energy_2","2","17","145.5","482.5","1.06919702514102",0.355673122466748
"305","alphabet_a","ORN2_min_3","14","29","40.5","44","1.06919702514102",0.355673122466748
"204","alphabet_a","ORN3_max_2","102","118","149.5","153","1.03140846425162",0.343062728883674
"225","alphabet_a","EMG3_stdev_2","2","18","3.7253171961952","6.95220887009063","1.03140846425162",0.343062728883674
"264","alphabet_a","ACCLX_mean_3","104","120","0.7087891","0.7510254","1.03140846425162",0.343062728883674
"271","alphabet_a","ORN2_mean_3","14","30","40.95","44.75","1.03140846425162",0.343062728883674
"295","alphabet_a","EMG5_min_3","114","130","-9.5","-4","1.03140846425162",0.343062728883674
"332","alphabet_a","ACCLX_total_energy_3","104","120","5.02407675026","5.640672092088","1.03140846425162",0.343062728883674
"339","alphabet_a","ORN2_total_energy_3","14","30","16769.5","20027.5","1.03140846425162",0.343062728883674
"349","alphabet_a","ACCLX_mean_4","104","120","0.7100098","0.7504151","1.03140846425162",0.343062728883674
"390","alphabet_a","ORN2_min_4","13","29","40.5","44","1.03140846425162",0.343062728883674
"417","alphabet_a","ACCLX_total_energy_4","104","120","5.041260968339","5.631365857232","1.03140846425162",0.343062728883674
"434","alphabet_a","ACCLX_mean_5","104","120","0.71196285","0.7504395","1.03140846425162",0.343062728883674
"441","alphabet_a","ORN2_mean_5","13","29","40.75","44","1.03140846425162",0.343062728883674
"468","alphabet_a","ACCLX_min_5","104","120","0.7070315","0.7443845","1.03140846425162",0.343062728883674
"475","alphabet_a","ORN2_min_5","13","29","40.5","44","1.03140846425162",0.343062728883674
"502","alphabet_a","ACCLX_total_energy_5","104","120","5.0690125370185","5.631786330247","1.03140846425162",0.343062728883674
"509","alphabet_a","ORN2_total_energy_5","13","29","16607.5","19360","1.03140846425162",0.343062728883674
"10","alphabet_a","ACCLY_mean_0","95","112","-0.54300786","-0.50565918","0.996646357992412",0.331462291307121
"95","alphabet_a","ACCLY_mean_1","94","111","-0.6101075","-0.5616943","0.996646357992412",0.331462291307121
"100","alphabet_a","ORN1_mean_1","90","107","64.25","65","0.996646357992412",0.331462291307121
"119","alphabet_a","ORN3_max_1","100","117","149.5","153","0.996646357992412",0.331462291307121
"163","alphabet_a","ACCLY_total_energy_1","23","40","3.165224075845","3.735184611329","0.996646357992412",0.331462291307121
"168","alphabet_a","ORN1_total_energy_1","90","107","41282.5","42250","0.996646357992412",0.331462291307121
"207","alphabet_a","EMG2_min_2","115","132","-14.5","0","0.996646357992412",0.331462291307121
"356","alphabet_a","ORN2_mean_4","13","30","40.75","44.85","0.996646357992412",0.331462291307121
"373","alphabet_a","ORN2_max_4","12","29","40.5","45","0.996646357992412",0.331462291307121
"383","alphabet_a","ACCLX_min_4","104","121","0.7028805","0.7487795","0.996646357992412",0.331462291307121
"384","alphabet_a","ACCLY_min_4","95","112","-0.5324705","-0.497559","0.996646357992412",0.331462291307121
"424","alphabet_a","ORN2_total_energy_4","13","30","16607.5","20116.5","0.996646357992412",0.331462291307121
"435","alphabet_a","ACCLY_mean_5","94","111","-0.52656255","-0.48762215","0.996646357992412",0.331462291307121
"451","alphabet_a","ACCLX_max_5","103","120","0.7160645","0.758789","0.996646357992412",0.331462291307121
"452","alphabet_a","ACCLY_max_5","93","110","-0.519043","-0.4797365","0.996646357992412",0.331462291307121
"458","alphabet_a","ORN2_max_5","12","29","40.5","44","0.996646357992412",0.331462291307121
"503","alphabet_a","ACCLY_total_energy_5","23","40","2.3779978205805","2.7730744330605","0.996646357992412",0.331462291307121
"9","alphabet_a","ACCLX_mean_0","103","121","0.69091796","0.73905764","0.964461674621011",0.320721963676019
"24","alphabet_a","EMG6_max_0","1","19","7","17","0.964461674621011",0.320721963676019
"106","alphabet_a","EMG3_max_1","3","21","1.5","6","0.964461674621011",0.320721963676019
"254","alphabet_a","ORN2_total_energy_2","17","35","17815","21690.5","0.964461674621011",0.320721963676019
"281","alphabet_a","ACCLX_max_3","101","119","0.717041","0.7592775","0.964461674621011",0.320721963676019
"313","alphabet_a","EMG6_stdev_3","1","19","2.45175673979111","6.34847604195327","0.964461674621011",0.320721963676019
"350","alphabet_a","ACCLY_mean_4","93","111","-0.5265625","-0.4880615","0.964461674621011",0.320721963676019
"366","alphabet_a","ACCLX_max_4","101","119","0.715576","0.756836","0.964461674621011",0.320721963676019
"367","alphabet_a","ACCLY_max_4","90","108","-0.520996","-0.4799805","0.964461674621011",0.320721963676019
"418","alphabet_a","ACCLY_total_energy_4","23","41","2.382786181054","2.77293776587","0.964461674621011",0.320721963676019
"57","alphabet_a","EMG5_stdev_0","1","20","4.23826109894815","8.09950597375663","0.934498451243568",0.31072295786807
"74","alphabet_a","EMG5_total_energy_0","1","20","1005","3231.5","0.934498451243568",0.31072295786807
"105","alphabet_a","EMG2_max_1","2","21","0.5","4","0.934498451243568",0.31072295786807
"179","alphabet_a","ACCLX_mean_2","99","118","0.68806155","0.7437501","0.934498451243568",0.31072295786807
"180","alphabet_a","ACCLY_mean_2","91","110","-0.5426026","-0.4981689","0.934498451243568",0.31072295786807
"186","alphabet_a","ORN2_mean_2","16","35","42.15","46.55","0.934498451243568",0.31072295786807
"208","alphabet_a","EMG3_min_2","110","129","-10.5","-6","0.934498451243568",0.31072295786807
"247","alphabet_a","ACCLX_total_energy_2","99","118","4.7406334939505","5.535129344468","0.934498451243568",0.31072295786807
"265","alphabet_a","ACCLY_mean_3","92","111","-0.52731935","-0.488794","0.934498451243568",0.31072295786807
"288","alphabet_a","ORN2_max_3","11","30","40.5","45","0.934498451243568",0.31072295786807
"316","alphabet_a","ACCLY_stdev_3","22","41","0.00534004168491668","0.0067199109529665","0.934498451243568",0.31072295786807
"330","alphabet_a","EMG6_total_energy_3","1","20","71","411","0.934498451243568",0.31072295786807
"333","alphabet_a","ACCLY_total_energy_3","23","42","2.389672460595","2.7809231424495","0.934498451243568",0.31072295786807
"469","alphabet_a","ACCLY_min_5","94","113","-0.538086","-0.4936525","0.934498451243568",0.31072295786807
"34","alphabet_a","ORN3_max_0","97","117","149.5","153","0.906469727643324",0.301369512594916
"49","alphabet_a","ORN1_min_0","93","113","63.5","65","0.906469727643324",0.301369512594916
"125","alphabet_a","EMG5_min_1","106","126","-13.5","-8","0.906469727643324",0.301369512594916
"156","alphabet_a","EMG2_total_energy_1","2","22","22.5","124.5","0.906469727643324",0.301369512594916
"197","alphabet_a","ACCLY_max_2","90","110","-0.51416","-0.4602055","0.906469727643324",0.301369512594916
"224","alphabet_a","EMG2_stdev_2","1","21","3.0840089349921","10.8732568744964","0.906469727643324",0.301369512594916
"248","alphabet_a","ACCLY_total_energy_2","23","43","2.4823556518105","2.946471771615","0.906469727643324",0.301369512594916
"27","alphabet_a","ACCLY_max_0","85","106","-0.5117185","-0.4602055","0.880140788920975",0.292583301315655
"134","alphabet_a","ORN1_min_1","92","113","63.5","65","0.880140788920975",0.292583301315655
"135","alphabet_a","ORN2_min_1","14","35","44.5","49","0.880140788920975",0.292583301315655
"244","alphabet_a","EMG5_total_energy_2","3","24","237.5","731.5","0.880140788920975",0.292583301315655
"41","alphabet_a","EMG6_min_0","107","129","-19.5","-12","0.855317205195943",0.284299440974129
"63","alphabet_a","GYR1_stdev_0","5","27","2.27250855343298","3.16228181232561","0.855317205195943",0.284299440974129
"75","alphabet_a","EMG6_total_energy_0","1","23","466","3362.5","0.855317205195943",0.284299440974129
"80","alphabet_a","GYR1_total_energy_0","4","26","244.447265625","495.080078125","0.855317205195943",0.284299440974129
"299","alphabet_a","ACCLY_min_3","92","114","-0.540283","-0.494385","0.855317205195943",0.284299440974129
"58","alphabet_a","EMG6_stdev_0","1","24","3.03153493821738","8.19174890205426","0.83183610934642",0.276463581299795
"83","alphabet_a","ORN1_total_energy_0","86","109","209895.5","216495","0.83183610934642",0.276463581299795
"109","alphabet_a","EMG6_max_1","1","24","2","7","0.83183610934642",0.276463581299795
"241","alphabet_a","EMG2_total_energy_2","1","24","92","1327","0.83183610934642",0.276463581299795
"282","alphabet_a","ACCLY_max_3","87","110","-0.520264","-0.476074","0.83183610934642",0.276463581299795
"55","alphabet_a","EMG3_stdev_0","1","25","4.41282916330213","8.25828473306768","0.809559714635268",0.269029741579311
"72","alphabet_a","EMG3_total_energy_0","1","25","963","3436","0.809559714635268",0.269029741579311
"185","alphabet_a","ORN1_mean_2","85","109","64.65","66","0.809559714635268",0.269029741579311
"203","alphabet_a","ORN2_max_2","15","39","43.5","49","0.809559714635268",0.269029741579311
"253","alphabet_a","ORN1_total_energy_2","85","109","41798.5","43560","0.809559714635268",0.269029741579311
"414","alphabet_a","EMG5_total_energy_4","1","25","66","471","0.809559714635268",0.269029741579311
"21","alphabet_a","EMG3_max_0","3","28","9.5","19","0.78837041556533",0.261958675766473
"214","alphabet_a","ACCLY_min_2","88","113","-0.601807","-0.53418","0.78837041556533",0.261958675766473
"270","alphabet_a","ORN1_mean_3","83","108","64.95","66","0.78837041556533",0.261958675766473
"296","alphabet_a","EMG6_min_3","97","122","-12.5","-7","0.78837041556533",0.261958675766473
"304","alphabet_a","ORN1_min_3","83","108","64.5","66","0.78837041556533",0.261958675766473
"338","alphabet_a","ORN1_total_energy_3","83","108","42185.5","43560","0.78837041556533",0.261958675766473
"397","alphabet_a","EMG5_stdev_4","1","26","2.27058484879019","6.88555736227293","0.78837041556533",0.261958675766473
"470","alphabet_a","ACCLZ_min_5","66","91","0.4538575","0.469727","0.78837041556533",0.261958675766473
"15","alphabet_a","ORN1_mean_0","86","112","64.79","65.8","0.768167029477043",0.255216618268444
"184","alphabet_a","GYR3_mean_2","3","29","-13.040625","-4.815625","0.768167029477043",0.255216618268444
"190","alphabet_a","EMG2_max_2","4","30","5.5","22","0.768167029477043",0.255216618268444
"227","alphabet_a","EMG5_stdev_2","4","30","5.03794851818725","8.92592780949338","0.768167029477043",0.255216618268444
"368","alphabet_a","ACCLZ_max_4","59","85","0.466553","0.484619","0.768167029477043",0.255216618268444
"32","alphabet_a","ORN1_max_0","73","100","64.5","66","0.748861874281656",0.248774308758202
"46","alphabet_a","GYR1_min_0","86","113","-7.09375","-3.5625","0.748861874281656",0.248774308758202
"54","alphabet_a","EMG2_stdev_0","1","28","3.07889458032176","13.8725570853688","0.748861874281656",0.248774308758202
"71","alphabet_a","EMG2_total_energy_0","1","28","577","10100","0.748861874281656",0.248774308758202
"202","alphabet_a","ORN1_max_2","80","107","64.5","66","0.748861874281656",0.248774308758202
"278","alphabet_a","EMG5_max_3","8","35","5.5","12","0.748861874281656",0.248774308758202
"287","alphabet_a","ORN1_max_3","79","106","64.5","66","0.748861874281656",0.248774308758202
"327","alphabet_a","EMG3_total_energy_3","1","28","65","848.5","0.748861874281656",0.248774308758202
"505","alphabet_a","GYR1_total_energy_5","4","31","1.529296875","5.490234375","0.748861874281656",0.248774308758202
"143","alphabet_a","EMG6_stdev_1","1","29","1.3984117975602","6.48204704824096","0.730378468587643",0.24260622468537
"355","alphabet_a","ORN1_mean_4","80","108","64.8","66","0.730378468587643",0.24260622468537
"389","alphabet_a","ORN1_min_4","80","108","64.5","66","0.730378468587643",0.24260622468537
"403","alphabet_a","GYR1_stdev_4","1","29","0.330981285137258","0.787245967254168","0.730378468587643",0.24260622468537
"423","alphabet_a","ORN1_total_energy_4","80","108","41992","43560","0.730378468587643",0.24260622468537
"440","alphabet_a","ORN1_mean_5","80","108","64.75","66","0.730378468587643",0.24260622468537
"457","alphabet_a","ORN1_max_5","79","107","64.5","66","0.730378468587643",0.24260622468537
"474","alphabet_a","ORN1_min_5","80","108","64.5","66","0.730378468587643",0.24260622468537
"508","alphabet_a","ORN1_total_energy_5","80","108","41927.5","43560","0.730378468587643",0.24260622468537
"44","alphabet_a","ACCLY_min_0","92","121","-0.6831055","-0.619141","0.712649701627211",0.236689970563706
"372","alphabet_a","ORN1_max_4","77","106","64.5","66","0.712649701627211",0.236689970563706
"436","alphabet_a","ACCLZ_mean_5","61","90","0.45734865","0.47751465","0.712649701627211",0.236689970563706
"499","alphabet_a","EMG5_total_energy_5","2","31","50","425","0.712649701627211",0.236689970563706
"504","alphabet_a","ACCLZ_total_energy_5","61","90","2.0917711672445","2.2803753714685","0.712649701627211",0.236689970563706
"129","alphabet_a","ACCLY_min_1","91","121","-0.6831055","-0.619141","0.695616362328431",0.231005787108815
"351","alphabet_a","ACCLZ_mean_4","64","94","0.45922855","0.4802734","0.695616362328431",0.231005787108815
"419","alphabet_a","ACCLZ_total_energy_4","64","94","2.1090265114605","2.306705595185","0.695616362328431",0.231005787108815
"453","alphabet_a","ACCLZ_max_5","58","88","0.463135","0.483887","0.695616362328431",0.231005787108815
"111","alphabet_a","ACCLX_max_1","89","120","0.677002","0.729248","0.679225946140262",0.225536153064583
"310","alphabet_a","EMG3_stdev_3","1","32","2.66874918683308","9.67183599169669","0.679225946140262",0.225536153064583
"361","alphabet_a","EMG3_max_4","1","32","4","12","0.679225946140262",0.225536153064583
"482","alphabet_a","EMG5_stdev_5","2","33","1.62193937627945","6.42994135562491","0.679225946140262",0.225536153064583
"488","alphabet_a","GYR1_stdev_5","2","33","0.320426308498196","0.75479904447455","0.679225946140262",0.225536153064583
"94","alphabet_a","ACCLX_mean_1","91","123","0.6345215","0.69284655","0.66343167895703",0.220265459477714
"131","alphabet_a","GYR1_min_1","80","112","-7.09375","-1.34375","0.66343167895703",0.220265459477714
"205","alphabet_a","EMGO_min_2","6","38","-42","-18","0.66343167895703",0.220265459477714
"398","alphabet_a","EMG6_stdev_4","1","33","2.5407785333546","7.96548761503811","0.66343167895703",0.220265459477714
"45","alphabet_a","ACCLZ_min_0","61","94","0.425293","0.450684","0.648191712400293",0.215179741155817
"87","alphabet_a","EMG1_mean_1","20","53","-2.55","-1","0.648191712400293",0.215179741155817
"162","alphabet_a","ACCLX_total_energy_1","90","123","4.026849363717","4.8074495369195","0.648191712400293",0.215179741155817
"239","alphabet_a","EMGO_total_energy_2","95","128","1383.5","4812.5","0.648191712400293",0.215179741155817
"345","alphabet_a","EMG4_mean_4","26","59","-2.45","-0.9","0.648191712400293",0.215179741155817
"357","alphabet_a","ORN3_mean_4","83","116","148.95","152","0.648191712400293",0.215179741155817
"391","alphabet_a","ORN3_min_4","83","116","148.5","152","0.648191712400293",0.215179741155817
"425","alphabet_a","ORN3_total_energy_4","83","116","221861.5","231040","0.648191712400293",0.215179741155817
"43","alphabet_a","ACCLX_min_0","96","130","0.604736","0.672119","0.633468455579587",0.210266453669765
"101","alphabet_a","ORN2_mean_1","11","45","45.7","50.9","0.633468455579587",0.210266453669765
"112","alphabet_a","ACCLY_max_1","68","102","-0.5722655","-0.512451","0.633468455579587",0.210266453669765
"128","alphabet_a","ACCLX_min_1","96","130","0.604736","0.672119","0.633468455579587",0.210266453669765
"140","alphabet_a","EMG3_stdev_1","2","36","2.59928565748389","5.76023071303479","0.633468455579587",0.210266453669765
"165","alphabet_a","GYR1_total_energy_1","1","35","70.57421875","382.37109375","0.633468455579587",0.210266453669765
"211","alphabet_a","EMG6_min_2","79","113","-19.5","-10","0.633468455579587",0.210266453669765
"252","alphabet_a","GYR3_total_energy_2","95","129","292.62109375","2192.681640625","0.633468455579587",0.210266453669765
"306","alphabet_a","ORN3_min_3","83","117","148.5","152","0.633468455579587",0.210266453669765
"394","alphabet_a","EMG2_stdev_4","1","35","3.16403399335581","14.7597786807045","0.633468455579587",0.210266453669765
"420","alphabet_a","GYR1_total_energy_4","1","35","0.9921875","6.84375","0.633468455579587",0.210266453669765
"12","alphabet_a","GYR1_mean_0","45","80","0.048125","0.77375","0.619228016464976",0.205514286934529
"116","alphabet_a","GYR3_max_1","79","114","4.28125","8.28125","0.619228016464976",0.205514286934529
"122","alphabet_a","EMG2_min_1","94","129","-8.5","-3","0.619228016464976",0.205514286934529
"148","alphabet_a","GYR1_stdev_1","3","38","2.69253746094","5.61389800194777","0.619228016464976",0.205514286934529
"169","alphabet_a","ORN2_total_energy_1","11","46","20897","25985.5","0.619228016464976",0.205514286934529
"219","alphabet_a","ORN1_min_2","74","109","63.5","66","0.619228016464976",0.205514286934529
"4","alphabet_a","EMG3_mean_0","35","71","-1.95","-0.41","0.605439731979343",0.200913008396611
"20","alphabet_a","EMG2_max_0","1","37","6","41","0.605439731979343",0.200913008396611
"31","alphabet_a","GYR3_max_0","72","108","4.28125","8.28125","0.605439731979343",0.200913008396611
"33","alphabet_a","ORN2_max_0","5","41","45.5","52","0.605439731979343",0.200913008396611
"160","alphabet_a","EMG6_total_energy_1","1","37","24","569.5","0.605439731979343",0.200913008396611
"215","alphabet_a","ACCLZ_min_2","52","88","0.4255375","0.450684","0.605439731979343",0.200913008396611
"411","alphabet_a","EMG2_total_energy_4","1","37","107","2203.5","0.605439731979343",0.200913008396611
"415","alphabet_a","EMG6_total_energy_4","1","37","75","690","0.605439731979343",0.200913008396611
"79","alphabet_a","ACCLZ_total_energy_0","59","96","10.7111510279205","11.844987070057","0.592075770421362",0.196453330358898
"118","alphabet_a","ORN2_max_1","5","42","45.5","52","0.592075770421362",0.196453330358898
"210","alphabet_a","EMG5_min_2","89","126","-14.5","-7","0.592075770421362",0.196453330358898
"279","alphabet_a","EMG6_max_3","1","38","2","12.5","0.592075770421362",0.196453330358898
"442","alphabet_a","ORN3_mean_5","79","116","148.75","152","0.592075770421362",0.196453330358898
"476","alphabet_a","ORN3_min_5","79","116","148.5","152","0.592075770421362",0.196453330358898
"510","alphabet_a","ORN3_total_energy_5","79","116","221267.5","231040","0.592075770421362",0.196453330358898
