"","X1","X2","X3","X4","X5","X6"
"1","a","EMG5_min_0","ACCLX_max_0","ORN2_mean_0","ORN2_total_energy_0","ORN3_mean_0"
"2","b","ACCLZ_min_0","EMG6_total_energy_0","ACCLX_mean_0","ORN2_mean_0","ACCLY_mean_0"
"3","c","ORN1_max_0","ORN1_min_0","ACCLX_stdev_0","ORN2_min_0","ACCLX_mean_0"
"4","d","ORN1_max_0","ORN3_max_0","ORN1_min_0","ORN1_mean_0","ORN2_max_0"
"5","e","ORN1_max_0","ORN1_min_0","ACCLX_max_0","ORN3_mean_0","ORN2_min_0"
"6","f","ORN1_max_0","ORN3_min_0","ORN1_mean_0","ACCLX_max_0","EMG2_stdev_0"
"7","g","ACCLZ_mean_0","ORN1_mean_0","ORN1_max_0","ACCLZ_total_energy_0","ORN1_total_energy_0"
"8","h","ACCLZ_mean_0","ORN1_mean_0","ACCLZ_max_0","ORN1_max_0","ACCLZ_total_energy_0"
"9","i","ORN1_mean_0","ORN1_min_0","ORN1_total_energy_0","ACCLZ_mean_0","ACCLZ_total_energy_0"
"10","j","ORN3_max_0","EMG5_total_energy_0","EMG6_total_energy_0","EMG6_max_0","GYR3_max_0"
"11","k","ORN3_min_0","GYR2_mean_0","GYR1_mean_0","ACCLY_mean_0","ORN2_min_0"
"12","l","ORN1_max_0","ORN3_mean_0","ORN3_total_energy_0","ORN1_mean_0","ORN1_total_energy_0"
"13","m","ORN3_max_0","ORN1_min_0","EMG1_max_0","EMG2_max_0","EMG1_stdev_0"
"14","n","ORN1_max_0","ORN1_mean_0","ORN3_min_0","ORN1_total_energy_0","EMG3_total_energy_0"
"15","o","ORN1_min_0","ORN2_max_0","GYR2_total_energy_0","GYR2_stdev_0","ACCLY_mean_0"
"16","p","EMG1_min_0","ORN3_mean_0","ORN3_min_0","ORN3_total_energy_0","ACCLY_mean_0"
"17","q","ORN2_mean_0","ORN3_mean_0","ORN3_max_0","ORN1_min_0","ORN2_total_energy_0"
"18","r","ACCLY_mean_0","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ACCLY_total_energy_0"
"19","s","ORN3_mean_0","ORN1_max_0","ORN3_max_0","ORN1_min_0","ORN3_total_energy_0"
"20","t","ORN1_min_0","ACCLZ_total_energy_0","ACCLZ_mean_0","ACCLX_mean_0","ACCLX_total_energy_0"
"21","u","ORN1_max_0","ORN1_min_0","ORN1_mean_0","ORN1_total_energy_0","ORN2_mean_0"
"22","v","ORN1_min_0","ORN1_mean_0","ORN1_total_energy_0","ACCLZ_mean_0","ACCLZ_total_energy_0"
"23","w","ORN1_max_0","ORN1_min_0","ORN2_min_0","ORN1_mean_0","ORN1_total_energy_0"
"24","x","ORN3_mean_0","ORN1_max_0","ORN2_min_0","ORN3_total_energy_0","ORN3_max_0"
"25","y","ORN3_mean_0","ORN3_min_0","ORN3_total_energy_0","EMG6_max_0","ORN3_max_0"
"26","z","GYR1_mean_0","ORN3_mean_0","EMG1_min_0","ORN1_min_0","ORN3_min_0"
