12,-4,-4,-1,-3,-69,-8,15,0.320312,-0.775391,0.624023,7.1875,4.125,-0.25,64,71,171
-12,-3,0,-1,-12,-67,4,-9,0.33252,-0.70166,0.644531,9.5625,1,-8.5625,65,71,171
-7,-4,-4,-14,-50,-17,-6,-6,0.356445,-0.693359,0.64209,14.75,-4.25,7.8125,65,71,171
-8,3,0,-1,-6,-28,-11,-4,0.349609,-0.688965,0.651855,10.5625,-11.25,22,65,71,171
-4,-2,-5,-2,-1,-30,8,-2,0.251465,-0.803711,0.659668,-3.375,-29.875,16.75,65,71,172
-14,-6,-1,-3,4,-3,4,-18,0.325195,-0.708496,0.632812,9.25,-27.4375,2.0625,65,70,172
-29,12,7,0,-9,-14,-24,5,0.345703,-0.762695,0.628418,-1.875,-13.125,-8.625,65,69,173
-65,-23,-12,3,1,-7,-2,-14,0.382324,-0.737793,0.583008,7.6875,-12.0625,-17.1875,65,69,173
29,-9,0,4,1,-21,-23,7,0.399902,-0.719238,0.598145,-1.875,-0.9375,-7.8125,65,68,173
-50,-15,-7,-4,1,11,3,-6,0.380859,-0.730957,0.628906,1.625,-1.6875,-4.0625,65,68,173
-24,-9,-1,1,8,14,-4,-16,0.39209,-0.71875,0.617676,-0.6875,0.6875,1.6875,65,67,173
-30,-5,-1,-6,-8,-11,-5,-15,0.378418,-0.712402,0.619629,0.6875,1.1875,5,65,68,173
31,7,-1,8,1,-17,-10,13,0.386719,-0.739258,0.625488,-1,1.5,4.1875,65,68,173
-43,6,-2,1,2,0,3,-6,0.366699,-0.729004,0.626465,-0.4375,0.6875,2.125,65,68,173
40,-4,-2,-5,-9,-7,0,31,0.382324,-0.730469,0.620117,0.4375,0,-0.0625,65,68,173
-37,-7,1,5,2,-3,-10,-22,0.371094,-0.72998,0.626953,1.0625,-0.3125,-0.9375,65,68,173
38,3,1,8,6,-7,-4,9,0.374512,-0.725098,0.616699,0.125,0.0625,-1.875,65,68,173
5,-14,-6,-2,2,0,7,-2,0.377441,-0.720215,0.623535,0.75,0.375,-0.75,65,68,173
-29,-1,-1,-2,-5,7,-5,-9,0.375,-0.727051,0.624512,-0.125,0.6875,0.375,65,68,173
-3,-3,-5,-12,-4,-4,-6,4,0.374023,-0.716797,0.618652,0.6875,0.0625,0.5,65,68,173
-33,-7,-3,1,-2,-5,-3,-15,0.378418,-0.723145,0.622559,0.5,0.3125,0.3125,65,68,173
26,-1,-2,-1,1,-4,-4,24,0.371582,-0.725098,0.621582,-0.25,0.5625,-0.5,65,68,173
-7,-9,-5,-9,-5,-14,-21,-12,0.373535,-0.722168,0.624512,-0.75,-1.625,-1.5,65,68,173
0,2,4,5,6,-6,2,22,0.387207,-0.723145,0.611816,1.4375,-0.75,-1,65,68,173
-10,-5,-8,2,1,5,-3,6,0.378906,-0.717773,0.62207,2,0.375,-1.125,65,68,173
-36,-10,-6,-8,-6,-2,-6,-1,0.371094,-0.729004,0.628906,-0.25,-0.625,-1,65,68,173
12,0,-9,4,6,-2,-5,6,0.382324,-0.716797,0.624512,0.1875,0.0625,-0.625,65,68,173
-16,-8,-7,-7,-5,-11,-10,-30,0.379395,-0.716309,0.612305,-0.3125,0.5,-0.5,65,68,173
-1,3,2,2,6,5,3,6,0.379883,-0.728027,0.628418,0.5,0,0.75,65,68,173
11,-3,0,4,5,0,-5,20,0.379395,-0.723145,0.618164,0.5,-0.3125,0.3125,65,68,173
11,-3,-6,4,-9,-3,2,-5,0.375488,-0.724121,0.623047,-0.1875,-0.25,0.625,65,68,173
27,5,0,-3,0,3,-7,16,0.372559,-0.725098,0.624512,0.8125,0.25,0.3125,65,68,173
-48,-1,-3,3,2,-5,4,-19,0.374023,-0.720703,0.621582,0.0625,-0.125,-0.25,65,68,173
-35,-4,0,0,-4,-4,-9,-12,0.377441,-0.728027,0.624023,-0.6875,0.125,-0.875,65,68,173
-17,-3,1,-6,3,-6,1,8,0.379395,-0.719727,0.620117,-1.0625,0.75,-0.4375,65,68,173
-8,-3,-1,2,6,10,6,17,0.373047,-0.727051,0.62207,-0.375,0.875,-0.8125,65,68,173
-5,-4,-1,2,-3,-5,-2,-21,0.378418,-0.722168,0.623047,-0.75,1,-1,65,68,173
14,16,0,-2,5,3,-11,9,0.378906,-0.721191,0.618652,0.6875,0.375,-0.1875,65,68,173
-10,-2,-1,0,5,19,8,0,0.375,-0.727539,0.626465,0.1875,0.375,-0.5,65,68,173
-16,3,3,2,-1,0,-4,-5,0.379395,-0.724121,0.633301,-0.1875,0.6875,-1.125,65,68,173
-17,-1,1,2,4,7,12,-5,0.380371,-0.725586,0.617676,0.0625,0.3125,-1.5625,65,68,173
-17,0,-1,4,-5,-13,-4,8,0.376465,-0.721191,0.62207,0.1875,0.875,-1.375,65,68,172
-10,-1,0,-6,-4,-6,-7,-14,0.380371,-0.723145,0.628906,-0.75,0.8125,-0.75,65,68,172
-17,-8,-2,1,-1,-5,2,-16,0.376953,-0.728027,0.629883,-0.5,0.25,-0.75,65,68,172
16,4,2,5,7,16,25,26,0.383301,-0.712402,0.625977,0.375,-0.1875,-0.25,65,68,172
27,17,4,-1,3,-2,-2,25,0.377441,-0.717285,0.622559,0.25,0,-0.0625,65,68,172
1,-1,-4,0,0,-9,-13,-3,0.382324,-0.722656,0.624512,-0.9375,0.125,0.125,65,68,172
-14,3,1,-7,-2,1,13,-8,0.378906,-0.723145,0.625488,0.375,0.25,0.25,65,68,172
6,-2,3,0,1,3,-10,-11,0.376465,-0.725586,0.629883,0.0625,0.1875,-0.375,65,68,172
10,3,1,1,-4,2,2,3,0.376953,-0.71875,0.621582,0.0625,0.0625,-0.625,65,68,172
-7,-5,-2,3,2,3,-2,12,0.384766,-0.722168,0.624512,-0.5625,0.3125,-0.9375,65,68,172
