"","X1","X2","X3","X4","X5","X6"
"1","a","GYR2_mean_0","ACCLX_max_0","ACCLX_mean_0","ACCLX_min_0","ACCLX_total_energy_0"
"2","b","ORN1_max_0","ACCLX_mean_0","ACCLX_total_energy_0","ORN1_mean_0","ORN1_total_energy_0"
"3","c","ORN1_max_0","ACCLX_mean_0","ACCLY_mean_0","ORN2_mean_0","ACCLX_max_0"
"4","d","ORN1_max_0","ORN1_min_0","ORN1_mean_0","ORN1_total_energy_0","ORN3_max_0"
"5","e","ORN1_max_0","ORN1_min_0","ACCLX_mean_0","ACCLX_total_energy_0","ORN2_mean_0"
"6","f","ACCLY_mean_0","ACCLY_total_energy_0","EMG1_min_0","ACCLX_mean_0","ACCLX_total_energy_0"
"7","g","ORN1_max_0","ORN1_min_0","EMG3_total_energy_0","ORN3_min_0","EMG3_stdev_0"
"8","h","ACCLZ_mean_0","GYR1_mean_0","ORN1_max_0","GYR1_stdev_0","ACCLY_total_energy_0"
"9","i","ORN1_max_0","ORN3_mean_0","ORN3_total_energy_0","ORN3_min_0","ORN3_max_0"
"10","j","ACCLZ_mean_0","GYR1_mean_0","ORN1_max_0","ORN3_max_0","ACCLY_stdev_0"
"11","k","ACCLZ_mean_0","ACCLZ_total_energy_0","ACCLZ_max_0","ORN1_mean_0","ORN1_max_0"
"12","l","ORN1_max_0","ACCLZ_mean_0","ACCLZ_total_energy_0","ACCLY_total_energy_0","ACCLY_mean_0"
"13","m","ACCLZ_total_energy_0","ACCLZ_mean_0","ACCLY_mean_0","ACCLY_total_energy_0","ORN2_total_energy_0"
"14","n","ORN1_min_0","ACCLZ_mean_0","EMG7_total_energy_0","EMG7_stdev_0","ACCLZ_total_energy_0"
"15","o","EMG1_max_0","ORN1_min_0","ORN2_min_0","EMG1_stdev_0","EMG1_total_energy_0"
"16","p","GYR2_mean_0","ORN1_mean_0","ORN1_max_0","ORN1_min_0","ORN1_total_energy_0"
"17","q","ORN3_max_0","ACCLY_min_0","ACCLZ_max_0","ORN2_min_0","ACCLX_mean_0"
"18","r","ORN1_min_0","ORN3_mean_0","ORN3_max_0","ORN3_total_energy_0","ORN1_mean_0"
"19","s","ORN3_mean_0","ORN1_max_0","ORN3_max_0","ORN1_min_0","ORN3_min_0"
"20","t","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ORN2_mean_0"
"21","u","ORN3_mean_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ACCLX_mean_0"
"22","v","ORN3_mean_0","ORN3_max_0","ORN3_total_energy_0","ORN3_min_0","ACCLY_total_energy_0"
"23","w","ORN2_max_0","ORN3_max_0","EMG6_stdev_0","EMG6_total_energy_0","GYR3_max_0"
"24","x","ORN2_max_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0","ORN3_mean_0"
"25","y","ORN3_mean_0","ORN1_max_0","ORN3_max_0","ORN3_min_0","ORN3_total_energy_0"
"26","z","GYR2_mean_0","GYR2_max_0","GYR3_max_0","ORN3_max_0","GYR2_min_0"
