Features,Range_Lower,Range_Upper,Threshold_Upper,Threshold_Lower,Weight
EMG0_mean,13.0,96.0,-1.7990196078431373,-0.3284313725490196,0.02249718785151856
EMG1_mean,24.0,93.0,-1.6764705882352942,-0.24999999999999997,0.03487064116985377
EMG2_mean,46.0,107.0,-1.2990196078431373,0.11764705882352941,0.0444500889001778
EMG3_mean,32.0,91.0,-1.0,-0.4901960784313725,0.047244094488188976
EMG4_mean,9.0,55.0,-1.6078431372549018,-0.9607843137254902,0.07120120623219969
EMG5_mean,58.0,123.0,-0.7107843137254902,1.338235294117647,0.03937007874015748
EMG6_mean,107.0,124.0,1.1519607843137254,3.3921568627450984,0.24934383202099736
EMG7_mean,15.0,113.0,-1.9852941176470584,0.41666666666666663,0.013123359580052495
Accl0_mean,89.0,120.0,0.831236549019608,0.8777238088235295,0.12303149606299213
Accl1_mean,83.0,119.0,-0.46018108823529424,-0.34744322058823535,0.10108533730580975
Accl2_mean,28.0,86.0,0.2913555,0.3475437843137254,0.048712131322567735
Gyr0_mean,67.0,121.0,0.13082107843137256,2.1724877450980395,0.05511811023622047
Gyr1_mean,16.0,65.0,-1.8339460784313724,-0.5094975490196079,0.06456692913385827
Gyr2_mean,29.0,107.0,-2.528799019607843,-0.0664828431372549,0.026412837635801854
Orien0_mean,68.0,107.0,61.11274509803923,65.13235294117646,0.09055118110236221
Orien1_mean,10.0,44.0,27.387254901960787,33.36764705882353,0.10911136107986502
Orien2_mean,43.0,67.0,42.09313725490196,45.95588235294117,0.168503937007874
EMG0_min,27.0,80.0,-30.25,-10.75,0.0568678915135608
EMG1_min,6.0,93.0,-73.25,-12.0,0.01968503937007874
EMG2_min,21.0,126.0,-43.25,-5.0,0.009656811766453721
EMG3_min,37.0,121.0,-14.0,-6.0,0.02176933765632237
EMG4_min,11.0,102.0,-24.0,-9.0,0.017117425539198903
EMG5_min,28.0,116.0,-39.5,-13.75,0.01902149871715474
EMG6_min,27.0,74.0,-82.75,-35.75,0.0688976377952756
EMG7_min,65.0,131.0,-21.0,-5.25,0.03819485250910799
Accl0_min,103.0,123.0,0.77978475,0.8438722500000001,0.20809898762654666
Accl1_min,104.0,121.0,-0.50854475,-0.4309085,0.24934383202099736
Accl2_min,16.0,52.0,0.182129,0.250122,0.10108533730580975
Gyr0_min,40.0,93.0,-14.109375,-5.875,0.0568678915135608
Gyr1_min,23.0,92.0,-27.765625,-11.671875,0.03487064116985377
Gyr2_min,82.0,126.0,-18.171875,-6.96875,0.07611548556430446
Orien0_min,73.0,122.0,60.0,65.25,0.06456692913385827
Orien1_min,7.0,37.0,25.75,31.0,0.12827025654051308
Orien2_min,51.0,76.0,41.0,45.0,0.16050878255602663
EMG0_max,20.0,87.0,7.75,22.25,0.03705419175544233
EMG1_max,45.0,122.0,16.75,79.0,0.027256208358570563
EMG2_max,6.0,94.0,3.75,36.25,0.01902149871715474
EMG3_max,8.0,80.0,4.0,10.0,0.03181965268040125
EMG4_max,11.0,112.0,6.0,17.0,0.011579434923575731
EMG5_max,35.0,117.0,17.0,48.0,0.02324257660563514
EMG6_max,63.0,97.0,41.75,74.25,0.10911136107986502
EMG7_max,0.0,25.0,2.75,14.0,0.16050878255602663
Accl0_max,84.0,117.0,0.8704835000000001,0.92004375,0.11347846225104213
Accl1_max,69.0,117.0,-0.42468225000000004,-0.2849125,0.0666880925598586
Accl2_max,18.0,86.0,0.33459500000000003,0.4282225,0.0359465936323177
Gyr0_max,42.0,94.0,6.796875,12.765625,0.05868370227306492
Gyr1_max,50.0,119.0,10.859375,40.921875,0.03487064116985377
Gyr2_max,18.0,93.0,5.5,14.03125,0.029009531703273934
Orien0_max,62.0,102.0,62.0,66.0,0.087382369886691
Orien1_max,10.0,32.0,30.75,36.0,0.18657993837726805
Orien2_max,40.0,58.0,44.0,47.25,0.23414836303356817
EMG0_stdev,37.0,87.0,3.8780907505126154,7.05289325626199,0.06252894858730894
EMG1_stdev,43.0,113.0,5.417777140393324,19.659828577048646,0.03382499722745924
EMG2_stdev,10.0,100.0,2.418754760310376,12.903958370003203,0.01773816734446656
EMG3_stdev,19.0,87.0,2.6500773617995597,4.349020468656684,0.0359465936323177
EMG4_stdev,15.0,109.0,2.9972605503786367,5.7056651817505095,0.015333609614587653
EMG5_stdev,55.0,90.0,8.009960902822531,12.052461028971901,0.10498687664041993
EMG6_stdev,72.0,106.0,18.94935372924871,30.24688244375077,0.10911136107986502
EMG7_stdev,1.0,31.0,2.2470576350227,5.05983254373296,0.12827025654051308
Accl0_stdev,14.0,73.0,0.011222602528594125,0.02444189407413748,0.047244094488188976
Accl1_stdev,8.0,97.0,0.013186543537874691,0.04710527211348723,0.018372703412073487
Accl2_stdev,47.0,109.0,0.017770304533727094,0.036609860351259,0.04311961004874391
Gyr0_stdev,30.0,76.0,2.3857328851324686,3.638007767690297,0.07120120623219969
Gyr1_stdev,52.0,110.0,4.327384352164356,10.455925151282804,0.048712131322567735
Gyr2_stdev,8.0,41.0,2.748676208951542,4.656633161137477,0.11347846225104213
Orien0_stdev,22.0,95.0,0.2931260602696123,0.9223248109322983,0.030857629282826135
Orien1_stdev,26.0,101.0,0.7491774465105933,2.825672301549249,0.029009531703273934
Orien2_stdev,29.0,52.0,0.49841940497231674,0.6843310478682868,0.17716535433070865
EMG0_energy,36.0,87.0,805.0,2493.0,0.06056935190793458
EMG1_energy,41.0,111.0,1465.5,19234.25,0.03382499722745924
EMG2_energy,11.0,99.0,370.25,8446.5,0.01902149871715474
EMG3_energy,23.0,83.0,400.0,956.5,0.04582419000903576
EMG4_energy,24.0,106.0,541.75,1758.0,0.02324257660563514
EMG5_energy,54.0,88.0,3260.75,7279.75,0.10911136107986502
EMG6_energy,70.0,103.0,18279.25,46156.5,0.11347846225104213
EMG7_energy,1.0,32.0,267.0,1481.5,0.12303149606299213
Accl0_energy,88.0,116.0,35.251099228596,39.30080613499124,0.13983165897366276
Accl1_energy,11.0,42.0,6.182070668243752,10.80491290826075,0.12303149606299213
Accl2_energy,27.0,84.0,4.358475545842002,6.2155332810975,0.05023079011675264
Gyr0_energy,27.0,86.0,307.0263671875,887.044921875,0.047244094488188976
Gyr1_energy,58.0,109.0,1097.640625,5543.0458984375,0.06056935190793458
Gyr2_energy,7.0,43.0,378.22265625,1231.876953125,0.10108533730580975
Orien0_energy,67.0,103.0,190480.25,216202.5,0.10108533730580975
Orien1_energy,10.0,41.0,38310.25,56849.75,0.12303149606299213
Orien2_energy,40.0,64.0,90378.25,107725.75,0.168503937007874
