Features,Range_Lower,Range_Upper,Threshold_Upper,Threshold_Lower,Weight
EMG0_mean,11.0,128.0,-2.0,2.4901960784313726,0.004671026291205126
EMG1_mean,50.0,96.0,-1.0784313725490196,-0.21568627450980396,0.07120120623219969
EMG2_mean,9.0,109.0,-2.649509803921569,0.29411764705882354,0.01208388555390972
EMG3_mean,7.0,115.0,-1.4215686274509802,-0.05882352941176471,0.008307447807556167
EMG4_mean,45.0,103.0,-1.0637254901960784,-0.3137254901960784,0.048712131322567735
EMG5_mean,2.0,118.0,-2.6372549019607843,0.7303921568627451,0.005047445992327885
EMG6_mean,1.0,122.0,-9.284313725490193,3.063725490196078,0.0032270556344391396
EMG7_mean,19.0,108.0,-1.6666666666666667,0.04656862745098039,0.018372703412073487
Accl0_mean,47.0,90.0,0.7607086470588235,0.8317787549019607,0.07874015748031496
Accl1_mean,46.0,68.0,-0.5632683284313725,-0.49736466666666673,0.18657993837726805
Accl2_mean,10.0,77.0,0.23812330882352933,0.3372897892156863,0.03705419175544233
Gyr0_mean,1.0,30.0,-3.2674632352941178,-0.7218137254901961,0.13385826771653545
Gyr1_mean,44.0,122.0,-0.9580269607843137,1.6014093137254901,0.026412837635801854
Gyr2_mean,10.0,108.0,-4.151348039215686,0.01011029411764706,0.013123359580052495
Orien0_mean,15.0,53.0,57.27450980392157,60.23039215686274,0.09388249545729861
Orien1_mean,45.0,84.0,33.47549019607843,40.35294117647059,0.09055118110236221
Orien2_mean,53.0,100.0,43.86274509803921,50.279411764705884,0.0688976377952756
EMG0_min,28.0,121.0,-30.0,-6.0,0.015915563746021107
EMG1_min,100.0,119.0,-11.0,-5.75,0.2204724409448819
EMG2_min,5.0,63.0,-90.5,-24.75,0.048712131322567735
EMG3_min,15.0,50.0,-18.0,-12.0,0.10498687664041993
EMG4_min,39.0,123.0,-17.0,-7.0,0.02176933765632237
EMG5_min,31.0,120.0,-38.0,-12.5,0.018372703412073487
EMG6_min,4.0,77.0,-119.5,-32.5,0.030857629282826135
EMG7_min,48.0,85.0,-25.25,-17.0,0.09738914214670534
Accl0_min,37.0,100.0,0.612305,0.7753905000000001,0.041830708661417325
Accl1_min,34.0,91.0,-0.7452394999999999,-0.56091275,0.05023079011675264
Accl2_min,13.0,85.0,0.163452,0.29357900000000003,0.03181965268040125
Gyr0_min,15.0,42.0,-20.765625,-13.75,0.14623172103487064
Gyr1_min,27.0,114.0,-24.234375,-7.71875,0.01968503937007874
Gyr2_min,22.0,97.0,-44.828125,-13.984375,0.029009531703273934
Orien0_min,13.0,65.0,56.0,60.0,0.05868370227306492
Orien1_min,47.0,80.0,32.0,36.25,0.11347846225104213
Orien2_min,52.0,91.0,41.75,48.0,0.09055118110236221
EMG0_max,50.0,105.0,11.0,41.0,0.05343082114735659
EMG1_max,19.0,37.0,7.0,15.0,0.23414836303356817
EMG2_max,78.0,110.0,28.0,51.75,0.11811023622047244
EMG3_max,49.0,126.0,7.0,22.75,0.027256208358570563
EMG4_max,23.0,93.0,6.0,13.25,0.03382499722745924
EMG5_max,80.0,119.0,30.0,50.5,0.09055118110236221
EMG6_max,76.0,117.0,59.5,99.0,0.0843644544431946
EMG7_max,45.0,70.0,18.0,23.0,0.16050878255602663
Accl0_max,47.0,95.0,0.8178707500000001,0.883423,0.0666880925598586
Accl1_max,46.0,65.0,-0.48449675,-0.4338377500000001,0.2204724409448819
Accl2_max,9.0,78.0,0.2958985,0.417114,0.03487064116985377
Gyr0_max,10.0,28.0,3.0,5.046875,0.23414836303356817
Gyr1_max,47.0,103.0,10.0,28.28125,0.05180273518441774
Gyr2_max,72.0,105.0,9.828125,20.3125,0.11347846225104213
Orien0_max,27.0,52.0,59.0,61.0,0.16050878255602663
Orien1_max,23.0,94.0,35.0,49.0,0.032808398950131226
Orien2_max,47.0,109.0,45.0,54.0,0.04311961004874391
EMG0_stdev,15.0,108.0,2.743098977839595,14.504203347658025,0.015915563746021107
EMG1_stdev,19.0,31.0,2.891231631368765,4.119557269473836,0.3603876438522108
EMG2_stdev,87.0,118.0,11.351349921169417,21.453900159231424,0.12303149606299213
EMG3_stdev,89.0,114.0,4.375129005261872,5.884342651001576,0.16050878255602663
EMG4_stdev,8.0,83.0,2.7847218042064763,4.791468000954695,0.029009531703273934
EMG5_stdev,59.0,108.0,8.737727370185873,14.34675576361074,0.06456692913385827
EMG6_stdev,89.0,119.0,24.484384322401134,37.58634384925284,0.12827025654051308
EMG7_stdev,29.0,69.0,4.855399186073512,8.512559197822522,0.087382369886691
Accl0_stdev,55.0,110.0,0.01811348602834128,0.04749414355630476,0.05343082114735659
Accl1_stdev,48.0,113.0,0.02591418526938846,0.06302066535580161,0.03937007874015748
Accl2_stdev,25.0,105.0,0.01411988996962356,0.033146181388949945,0.024788568095654714
Gyr0_stdev,68.0,110.0,3.350453247086416,6.0445130149064425,0.08148690715986083
Gyr1_stdev,72.0,93.0,5.460698576624266,7.367493321392797,0.1968503937007874
Gyr2_stdev,47.0,110.0,5.157402951711342,12.966849906504823,0.041830708661417325
Orien0_stdev,39.0,99.0,0.3850133687518488,1.0403650546513987,0.04582419000903576
Orien1_stdev,33.0,116.0,0.8782739868541263,3.9289812572871403,0.02249718785151856
Orien2_stdev,51.0,114.0,0.6521453109531214,2.1263550765365133,0.041830708661417325
EMG0_energy,10.0,107.0,381.0,10449.75,0.013659006909850554
EMG1_energy,19.0,30.0,447.25,861.5,0.3937007874015748
EMG2_energy,84.0,118.0,6410.25,23221.25,0.10911136107986502
EMG3_energy,88.0,113.0,1011.25,1742.75,0.16050878255602663
