Features,Range_Lower,Range_Upper,Threshold_Upper,Threshold_Lower,Weight
EMG0_mean,43.0,91.0,-1.0196078431372548,-0.4068627450980392,0.0666880925598586
EMG1_mean,29.0,88.0,-1.4950980392156863,-0.4509803921568627,0.047244094488188976
EMG2_mean,6.0,123.0,-2.7450980392156863,1.0588235294117647,0.004671026291205126
EMG3_mean,10.0,76.0,-1.2941176470588236,-0.6666666666666666,0.03819485250910799
EMG4_mean,4.0,73.0,-2.0588235294117645,-0.7254901960784313,0.03487064116985377
EMG5_mean,10.0,102.0,-2.0931372549019605,0.00980392156862745,0.01651003302006604
EMG6_mean,2.0,129.0,-8.23529411764706,5.411764705882353,0.0012303149606299212
EMG7_mean,17.0,68.0,-1.887254901960784,-0.5490196078431373,0.06056935190793458
Accl0_mean,70.0,109.0,0.798325568627451,0.848120480392157,0.09055118110236221
Accl1_mean,58.0,105.0,-0.5249333921568629,-0.4241297205882353,0.0688976377952756
Accl2_mean,21.0,46.0,0.27920114215686276,0.3070738382352941,0.16050878255602663
Gyr0_mean,4.0,42.0,-2.125,-0.5474877450980392,0.09388249545729861
Gyr1_mean,12.0,120.0,-2.212009803921569,1.3881740196078431,0.008307447807556167
Gyr2_mean,39.0,118.0,-2.055453431372549,0.33762254901960786,0.025590551181102362
Orien0_mean,32.0,84.0,58.877450980392155,62.38235294117648,0.05868370227306492
Orien1_mean,22.0,62.0,30.970588235294116,36.38235294117648,0.087382369886691
Orien2_mean,68.0,101.0,46.06372549019608,50.47549019607843,0.11347846225104213
EMG0_min,64.0,129.0,-14.0,-4.75,0.03937007874015748
EMG1_min,67.0,96.0,-22.0,-12.0,0.13385826771653545
EMG2_min,11.0,76.0,-77.5,-20.0,0.03937007874015748
EMG3_min,11.0,92.0,-21.0,-8.0,0.024006145573266757
EMG4_min,8.0,112.0,-25.5,-8.0,0.01012373453318335
EMG5_min,49.0,89.0,-32.25,-21.0,0.087382369886691
EMG6_min,6.0,72.0,-114.5,-37.75,0.03819485250910799
EMG7_min,11.0,101.0,-45.0,-13.75,0.01773816734446656
Accl0_min,5.0,90.0,0.29284625,0.75805675,0.02105841420985168
Accl1_min,59.0,93.0,-0.65502925,-0.5531005,0.10911136107986502
Accl2_min,0.0,67.0,-0.118164,0.270752,0.03705419175544233
Gyr0_min,7.0,36.0,-36.578125,-14.4375,0.13385826771653545
Gyr1_min,44.0,128.0,-19.90625,-2.640625,0.02176933765632237
Gyr2_min,34.0,87.0,-36.65625,-16.640625,0.0568678915135608
Orien0_min,44.0,92.0,58.0,61.0,0.0666880925598586
Orien1_min,24.0,73.0,29.0,36.0,0.06456692913385827
Orien2_min,74.0,100.0,45.0,49.0,0.15310586176727908
EMG0_max,4.0,60.0,5.0,13.25,0.05180273518441774
EMG1_max,29.0,64.0,11.75,24.5,0.10498687664041993
EMG2_max,46.0,128.0,15.0,81.25,0.02324257660563514
EMG3_max,13.0,107.0,4.75,14.25,0.015333609614587653
EMG4_max,13.0,65.0,6.0,10.0,0.05868370227306492
EMG5_max,42.0,104.0,20.0,38.25,0.04311961004874391
EMG6_max,89.0,123.0,67.5,106.0,0.10911136107986502
EMG7_max,42.0,111.0,18.0,44.0,0.03487064116985377
Accl0_max,58.0,131.0,0.832764,1.3504625,0.030857629282826135
Accl1_max,50.0,101.0,-0.473877,-0.33850075,0.06056935190793458
Accl2_max,27.0,120.0,0.346069,0.604492,0.015915563746021107
Gyr0_max,1.0,22.0,1.78125,4.65625,0.1968503937007874
Gyr1_max,2.0,106.0,3.0,28.859375,0.01012373453318335
Gyr2_max,31.0,109.0,6.671875,25.359375,0.026412837635801854
Orien0_max,23.0,101.0,59.0,65.25,0.026412837635801854
Orien1_max,24.0,55.0,35.0,39.0,0.12303149606299213
Orien2_max,62.0,97.0,48.0,52.0,0.10498687664041993
EMG0_stdev,2.0,36.0,1.9296137324732106,3.8729301399859377,0.10911136107986502
EMG1_stdev,22.0,55.0,3.394746886386524,7.124773900937917,0.11347846225104213
EMG2_stdev,59.0,116.0,6.964858856541236,17.7778841028877,0.05023079011675264
EMG3_stdev,24.0,106.0,2.7011867058166943,5.542975402810529,0.02324257660563514
EMG4_stdev,11.0,91.0,2.8719050476050976,4.93178751278269,0.024788568095654714
EMG5_stdev,57.0,101.0,8.321074929796382,12.732645235637204,0.07611548556430446
EMG6_stdev,95.0,125.0,25.737746237670315,42.38925148761123,0.12827025654051308
EMG7_stdev,35.0,95.0,5.578825707957755,11.218231434041831,0.04582419000903576
Accl0_stdev,21.0,130.0,0.013503382063412887,0.15829130349631498,0.007874015748031496
Accl1_stdev,27.0,91.0,0.020052389743220652,0.0443602260555309,0.040581465778316166
Accl2_stdev,41.0,125.0,0.01691183369417517,0.0837598563815308,0.02176933765632237
Gyr0_stdev,67.0,111.0,3.3424114251911843,6.197837656187943,0.07611548556430446
Gyr1_stdev,29.0,83.0,3.515632111016652,6.320807589921648,0.05511811023622047
Gyr2_stdev,37.0,90.0,4.553614523714505,9.421885157174696,0.0568678915135608
Orien0_stdev,6.0,105.0,0.0,1.1934026127203219,0.01259842519685039
Orien1_stdev,23.0,99.0,0.6803811483813418,2.611474882068732,0.028121484814398197
Orien2_stdev,14.0,113.0,0.4009791936316523,2.1046546859965196,0.01259842519685039
EMG0_energy,2.0,35.0,222.5,803.0,0.11347846225104213
EMG1_energy,23.0,55.0,683.5,2567.25,0.11811023622047244
EMG2_energy,58.0,116.0,2601.75,16103.75,0.048712131322567735
EMG3_energy,30.0,107.0,431.0,1619.75,0.027256208358570563
EMG4_energy,15.0,94.0,480.5,1431.5,0.025590551181102362
EMG5_energy,55.0,96.0,3456.0,8128.25,0.0843644544431946
EMG6_energy,93.0,125.0,33242.0,90610.25,0.11811023622047244
EMG7_energy,34.0,94.0,1573.0,6388.25,0.04582419000903576
Accl0_energy,69.0,111.0,32.536386631306506,37.69754911598852,0.08148690715986083
Accl1_energy,25.0,70.0,9.22014609238875,14.089300769348498,0.07360492981855529
Accl2_energy,20.0,55.0,3.9914908242687503,5.107092326767967,0.10498687664041993
Gyr0_energy,68.0,112.0,607.79296875,2169.2822265625,0.07611548556430446
Gyr1_energy,39.0,80.0,864.1123046875,2007.1748046875,0.0843644544431946
Gyr2_energy,35.0,87.0,1028.8525390625,4564.6005859375,0.05868370227306492
Orien0_energy,32.0,81.0,176836.5,198503.0,0.06456692913385827
Orien1_energy,22.0,59.0,49307.25,67546.5,0.09738914214670534
Orien2_energy,65.0,99.0,108239.25,129955.25,0.10911136107986502
