Features,Range_Lower,Range_Upper,Threshold_Upper,Threshold_Lower,Weight
EMG0_mean,25.0,116.0,-1.2916666666666665,0.446078431372549,0.020703933747412
EMG1_mean,45.0,80.0,-1.1421568627450982,-0.6274509803921569,0.12698412698412698
EMG2_mean,54.0,89.0,-1.147058823529412,-0.5784313725490197,0.12698412698412698
EMG3_mean,39.0,88.0,-0.9607843137254902,-0.5637254901960784,0.07809523809523809
EMG4_mean,18.0,125.0,-1.3725490196078431,0.23529411764705885,0.01058201058201058
EMG5_mean,70.0,127.0,-0.5882352941176471,2.950980392156863,0.06075533661740558
EMG6_mean,28.0,128.0,-2.1127450980392157,4.637254901960784,0.014615747289014614
EMG7_mean,0.0,131.0,-5.382352941176471,6.01470588235294,0.0
Accl0_mean,4.0,18.0,0.5227361617647058,0.6450314950980393,0.3714285714285714
Accl1_mean,5.0,48.0,-0.7469936470588233,-0.5512910588235294,0.09523809523809523
Accl2_mean,124.0,131.0,0.4577181764705883,0.5804084019607844,0.7380952380952381
Gyr0_mean,64.0,120.0,0.012561274509803926,2.0168504901960786,0.06265664160401004
Gyr1_mean,8.0,129.0,-4.50765931372549,2.825058823529412,0.003903200624512101
Gyr2_mean,1.0,85.0,-9.255821078431373,-0.7913602941176471,0.026330532212885158
Orien0_mean,50.0,119.0,60.01470588235294,67.06862745098039,0.042176870748299324
Orien1_mean,115.0,127.0,50.18137254901961,58.57843137254902,0.43589743589743585
Orien2_mean,21.0,32.0,37.671568627450974,39.632352941176464,0.47619047619047616
EMG0_min,50.0,122.0,-19.0,-6.0,0.03848662752772342
EMG1_min,56.0,129.0,-29.0,-3.0,0.03732303732303733
EMG2_min,120.0,130.0,-6.25,-3.75,0.5238095238095238
EMG3_min,51.0,128.0,-12.0,-5.0,0.03296703296703296
EMG4_min,26.0,128.0,-19.0,-6.0,0.013407304669440593
EMG5_min,96.0,129.0,-19.25,-6.75,0.1372549019607843
EMG6_min,95.0,115.0,-22.25,-15.0,0.25170068027210885
