Features,Range_Lower,Range_Upper,Threshold_Upper,Threshold_Lower,Weight
EMG0_mean,8.0,118.0,-2.436274509803922,0.6519607843137255,0.007448393275164926
EMG1_mean,2.0,83.0,-3.2892156862745097,-0.5490196078431373,0.024006145573266757
EMG2_mean,14.0,92.0,-2.2205882352941178,-0.5098039215686274,0.026412837635801854
EMG3_mean,17.0,103.0,-1.2058823529411764,-0.3725490196078431,0.020363833831115938
EMG4_mean,2.0,106.0,-2.166666666666667,-0.24509803921568626,0.01012373453318335
EMG5_mean,31.0,130.0,-1.357843137254902,4.529411764705882,0.01259842519685039
EMG6_mean,15.0,127.0,-3.2254901960784306,4.259803921568627,0.0066197477527698435
EMG7_mean,20.0,126.0,-1.6225490196078431,1.6715686274509804,0.00919861652807418
Accl0_mean,54.0,110.0,0.7810345392156863,0.8489559607843139,0.05180273518441774
Accl1_mean,50.0,103.0,-0.5393281617647059,-0.4293068774509805,0.0568678915135608
Accl2_mean,27.0,65.0,0.2885311421568627,0.3250971862745098,0.09388249545729861
Gyr0_mean,87.0,116.0,0.5346200980392157,1.3915441176470589,0.13385826771653545
Gyr1_mean,19.0,59.0,-1.600183823529412,-0.6544117647058824,0.087382369886691
Gyr2_mean,52.0,74.0,-1.6118259803921569,-0.9739583333333334,0.18657993837726805
Orien0_mean,45.0,79.0,59.794117647058826,61.911764705882355,0.10911136107986502
Orien1_mean,21.0,75.0,30.877450980392155,38.0,0.05511811023622047
Orien2_mean,95.0,131.0,49.94607843137255,59.60294117647058,0.10108533730580975
EMG0_min,7.0,62.0,-52.75,-14.75,0.05343082114735659
EMG1_min,18.0,49.0,-54.5,-31.75,0.12303149606299213
EMG2_min,33.0,105.0,-37.0,-10.75,0.03181965268040125
EMG3_min,18.0,107.0,-17.25,-7.0,0.018372703412073487
EMG4_min,0.0,41.0,-42.0,-16.0,0.0843644544431946
EMG5_min,13.0,38.0,-51.0,-35.0,0.16050878255602663
EMG6_min,13.0,43.0,-98.0,-66.25,0.12827025654051308
EMG7_min,74.0,121.0,-20.0,-7.75,0.0688976377952756
Accl0_min,70.0,114.0,0.7178957499999999,0.8004150000000001,0.07611548556430446
Accl1_min,70.0,99.0,-0.626099,-0.5363767500000001,0.13385826771653545
Accl2_min,48.0,86.0,0.24438475,0.293945,0.09388249545729861
Gyr0_min,48.0,123.0,-12.984375,-2.96875,0.029009531703273934
Gyr1_min,74.0,98.0,-13.828125,-11.25,0.168503937007874
Gyr2_min,78.0,104.0,-20.40625,-12.65625,0.15310586176727908
Orien0_min,49.0,87.0,59.0,61.0,0.09388249545729861
Orien1_min,25.0,89.0,29.0,37.25,0.040581465778316166
Orien2_min,101.0,131.0,49.0,58.75,0.12827025654051308
EMG0_max,47.0,110.0,11.0,46.5,0.041830708661417325
EMG1_max,90.0,124.0,45.0,84.0,0.10911136107986502
EMG2_max,21.0,61.0,8.75,21.0,0.087382369886691
EMG3_max,22.0,89.0,5.0,12.0,0.03705419175544233
EMG4_max,54.0,129.0,10.0,27.25,0.029009531703273934
EMG5_max,50.0,127.0,23.0,63.0,0.027256208358570563
EMG6_max,70.0,131.0,51.75,124.5,0.0444500889001778
EMG7_max,57.0,98.0,20.75,35.0,0.0843644544431946
Accl0_max,41.0,110.0,0.809326,0.903931,0.03487064116985377
Accl1_max,51.0,96.0,-0.47253425,-0.3510745,0.07360492981855529
Accl2_max,19.0,48.0,0.33667,0.37329100000000004,0.13385826771653545
Gyr0_max,57.0,107.0,8.46875,16.15625,0.06252894858730894
Gyr1_max,0.0,14.0,1.203125,5.890625,0.30708661417322836
Gyr2_max,11.0,70.0,4.1875,9.59375,0.047244094488188976
Orien0_max,34.0,71.0,60.0,62.0,0.09738914214670534
Orien1_max,19.0,73.0,34.0,42.0,0.05511811023622047
Orien2_max,86.0,129.0,51.0,60.0,0.07874015748031496
EMG0_stdev,70.0,113.0,5.2862389861880335,17.758109522965725,0.07874015748031496
EMG1_stdev,87.0,115.0,13.638117752901955,20.24171757611972,0.13983165897366276
EMG2_stdev,28.0,69.0,4.395204019075715,9.53747808826895,0.0843644544431946
